Time(Iteration),CLUB,SCLUB,LinUCB
0,0.312208316043,0.312208316043,0.0525462892748
10,1.75509106582,1.80617568125,1.53073423208
20,2.52987124194,2.81967951341,2.84764353318
30,3.70633285911,3.64477722723,4.89128005879
40,5.22779532309,4.60809020933,5.48424606693
50,6.47516686237,5.71996640803,6.79000208956
60,8.47437232384,6.85362068796,8.43587563407
70,10.0791877855,8.07917009764,10.186050923
80,11.5066874989,9.12475260189,11.7392861734
90,12.6146701039,10.0679059556,12.8712389051
100,13.7124601376,11.1672866079,14.021733851
110,15.0979224005,12.5825703199,15.153657269
120,16.0837929786,13.2544672088,16.5138964145
130,17.5394369726,14.6491086662,17.9217287232
140,18.3999849376,15.8962018647,19.2642114329
150,19.8775809994,17.559683637,20.2484756883
160,21.3520363236,18.9304130346,20.946159912
170,22.9384868835,20.5093292728,22.4063016834
180,23.9755373471,21.9332908034,23.6669241812
190,25.3118093664,23.6052339902,24.9210244795
200,26.2771290778,24.6901513064,25.8367357946
210,27.5029620111,26.0887085005,28.0518976564
220,29.7759655173,27.9222014633,29.5530446884
230,31.3325384867,29.1958130814,30.8653933657
240,32.7097159228,30.779608964,32.4649450353
250,34.2386191479,31.9548577501,33.6644990101
260,35.7407705974,33.2087622855,34.858816781
270,37.0216489462,35.1127072157,35.9813894471
280,38.3758419265,36.6477256399,37.1200753827
290,39.9991775058,37.7668499753,38.5229957809
300,41.4431040293,39.0824281756,39.8520190783
310,42.9770991967,40.5096857715,41.3873734357
320,44.5951046118,41.8070004857,42.6470300531
330,45.7830637255,42.598159697,43.8663237649
340,47.11681992,43.6835625881,45.5738781229
350,48.1166081984,44.7798499103,47.3543944199
360,49.9013303195,46.5171778761,48.3898169566
370,50.8237257444,47.2882911445,49.0922390243
380,52.0117494755,48.2531158638,50.3875630395
390,53.4926126659,49.7174137198,51.8498304156
400,54.54161276,50.763377019,53.3832510141
410,55.6248991845,52.0481509224,54.4647133842
420,56.8925600386,53.0810758092,55.8140909896
430,58.2866186877,54.6066641206,56.651447955
440,59.9491714065,56.2204048507,58.0569079444
450,61.0919903865,57.7878138879,59.0255898706
460,62.7246675935,59.2465832552,60.4814282966
470,64.1247057242,60.6881248878,61.5015075107
480,65.3306647556,61.6606983574,62.5968106459
490,66.538047795,62.4638615274,64.1210149655
500,67.7913368492,63.7229466012,65.2349882709
510,69.0270104414,65.0591051917,66.4491193374
520,70.2797660535,66.5912523842,67.9354419999
530,71.7073884923,67.7946558763,68.9499232976
540,72.6863226446,69.0877092174,70.2825209859
550,73.6921148872,70.4467425389,71.7768842868
560,75.4330478529,72.2611379848,73.3315658534
570,76.5728586325,73.3355562965,74.0396271041
580,78.3138058755,74.9964180451,75.5339267881
590,80.1309793041,76.3511807157,76.9588557215
600,81.2681066916,77.1389955534,78.9833557011
610,82.1017518762,78.2500750442,80.115478981
620,83.2033734149,79.3240879429,80.9545933029
630,84.5966954791,80.6539066881,82.4755074408
640,86.0662175819,81.8549786296,84.2904650145
650,87.702603021,83.0359392204,85.5862813536
660,88.7992948552,84.2780290092,86.7665110435
670,90.2053098251,85.3498803961,87.8011063671
680,91.7133604152,86.6781019686,89.3392203419
690,93.6287222163,88.3299562691,90.6325478136
700,94.8927066115,89.8682153491,91.8445117404
710,96.2666877051,91.1375291632,93.6915950735
720,97.3257691501,92.5811028287,95.1510922501
730,98.2393710736,93.2882895986,96.2396990206
740,99.7682110101,94.6935123101,97.5824245021
750,100.580882135,95.827776724,98.6754729311
760,101.888933214,97.1733786872,99.4630641512
770,103.090852789,98.2320473668,100.774099262
780,104.269615046,99.4897136743,101.775078412
790,105.304031751,100.55396923,102.996754716
800,106.696690629,101.554894515,104.149342735
810,108.24092722,102.761225299,105.369656548
820,109.685601976,104.354473324,106.722491219
830,111.058500167,105.980734892,108.317157002
840,112.061732041,107.403574098,109.464525011
850,113.004516895,108.442071937,110.423069974
860,114.190664101,109.873928877,111.808300985
870,115.338550012,111.075856114,113.027113306
880,116.34468178,112.304562863,114.74356313
890,117.106954674,113.274802826,115.736577887
900,118.200722269,114.582226394,117.317201306
910,118.891834987,115.528925578,118.088837025
920,120.173813664,117.046174708,118.892767927
930,121.338418475,117.91462017,119.986073436
940,122.838364984,120.069787341,121.604642348
950,124.265935558,121.629198921,122.465305508
960,125.452169113,122.619024193,123.564242033
970,126.986351354,124.027018006,124.711570749
980,128.352115532,125.115307136,125.91967893
