Time(Iteration),CLUB,SCLUB,LinUCB
0,1.68307435396,5.10872373087,4.20682683304
10,25.6851894693,21.9169705733,11.5340255338
Time(Iteration),CLUB,SCLUB,LinUCB
0,4.05230589946,4.02731422472,5.20176169197
10,50.59661723,16.4873182004,14.1736036344
20,80.5172990607,29.4857736789,14.565136156
30,91.7172426704,37.5370255505,14.8885140532
40,96.2238609171,44.0482715611,15.2389799305
50,100.584626016,48.4267884609,15.4004811998
60,106.293789417,53.5030916054,15.444562322
70,109.368034559,57.0325596043,15.5648641933
80,111.771715353,58.9716605759,15.618901739
90,113.936815494,60.8615707378,15.6916733814
100,116.887848039,64.4795700688,15.7301387067
110,119.100398659,67.9024343341,15.7575465427
120,123.341467131,72.0693733413,15.7649641322
130,126.754245123,73.6422404543,15.7799700515
140,129.970045926,76.3713515279,15.7832211481
150,135.350808524,82.6602835355,15.7982270673
160,137.457090732,86.0725082111,15.8132329866
170,140.066649564,89.126261303,15.8362108949
180,143.678855829,91.3426452521,15.8512168142
190,146.382972338,92.7913347836,15.8657147163
