Time(Iteration),CLUB,SCLUB,LinUCB
0,0.0128028271987,0.0128028271987,0.0128028271987
10,3.34724036444,3.45432809889,3.76655397891
20,6.51175751568,5.83197454277,5.8970201196
30,8.97265427513,7.30141495661,8.27267310867
40,12.7242964568,10.157476315,11.5189464883
50,15.2924104835,12.2682082286,14.7331412791
60,18.2053889691,14.0432775214,18.1138274258
70,20.0604972999,15.3906703391,20.8004462989
80,21.707036956,17.4663897128,22.139109422
90,23.4684733995,18.9685618629,24.1881613625
100,26.5546358148,21.0443123688,28.1321811315
110,28.8680885548,24.3863958667,32.2612130682
120,31.3863484012,26.1616501677,35.2682802218
130,33.8853078116,27.4989621614,37.8668265748
140,35.9829653676,28.5216395769,40.3887616004
150,38.7334696491,31.0836256032,42.8194378709
160,40.8318999661,33.1303933256,45.7478007661
170,43.6816838443,34.7098950868,48.6480359201
180,47.3448962691,36.41559144,53.0185899048
190,51.7118525106,39.0450616954,56.9094520555
200,56.0777500356,40.8817590456,59.3428507817
210,59.2502557591,43.405568233,61.6761886736
220,61.9162414699,44.9464079645,63.4607019797
230,64.4017121945,47.4102349476,65.9964919004
240,66.7071701994,50.0358352006,69.1706393084
250,71.1606780564,51.9073233819,72.1245152479
260,72.9720958046,53.4317122819,74.7282864588
270,75.4443558178,55.6184618285,77.1329991533
280,77.5135472404,57.2188241568,78.7574398599
290,79.8055485828,59.9681847901,81.0805871596
300,82.9973089666,61.45772964,84.0184620965
310,85.6162400961,64.6257560654,86.4115697816
320,89.151325788,66.2638279919,89.3699525876
330,91.6545364847,68.2889900838,91.7991411449
340,95.537255123,69.7683713273,93.9361505084
350,98.0346768334,72.4537938697,96.5888146332
360,102.515637482,76.4252314586,98.954995019
370,104.617863509,78.1093626753,101.646929994
380,106.588528878,80.0466119615,103.710326131
390,108.326163483,82.8240692179,106.047371595
400,111.021188505,84.7413444243,107.618800331
410,113.024369323,86.7453056965,110.14092555
420,115.266884884,88.2317123205,112.657391097
430,118.097780474,90.2283897068,114.678598008
440,121.354664122,92.0909956177,117.382199836
450,124.461199373,94.2242081261,119.386748015
460,127.156109943,94.7844122882,121.690844387
470,129.699460683,96.621799472,123.82277
480,132.561242485,99.4583945046,126.316535136
490,136.51623699,100.959098803,127.680931439
500,139.526503614,103.678447388,129.805314672
510,142.383848609,105.924890006,132.189911498
520,143.905530028,107.376594506,134.678652178
530,147.17796733,108.976295369,136.734799155
540,149.77159163,110.580854939,138.139343789
550,152.259610631,112.824778011,140.863866136
560,154.523427853,115.362799363,144.304883679
570,158.49901101,118.466133074,147.212971015
580,161.025336428,120.129248783,149.058680716
590,163.030566239,122.402119942,151.922510112
600,166.788022056,123.926221644,154.500758859
610,170.5710075,125.669470772,156.382687541
620,174.526699642,128.250669635,159.03745835
630,179.08331064,130.589799857,161.962392535
640,182.476555853,131.601199441,164.212769106
650,186.376366437,132.935393976,166.682471522
660,188.502513198,134.848124082,169.573386608
670,193.366411478,137.105989043,171.58619073
680,196.738004187,139.408029694,173.122811391
690,201.225328376,141.712535827,174.768502799
700,204.493067412,143.375237577,177.36690188
710,208.236418963,145.05217686,179.039888649
720,210.478588575,147.338438045,181.033778233
730,212.243269083,148.687948822,182.588403655
740,215.631805499,150.360139124,185.424469134
750,220.258653569,151.45238768,186.665047089
760,223.478611026,152.543540444,188.685539289
770,227.322619256,154.001174927,189.554997815
780,230.263640449,155.636831234,191.535828374
790,233.518572975,158.094358791,193.675819988
800,237.821577795,160.482870277,196.370264675
810,241.538645078,162.367811698,197.37145806
820,244.376067217,165.18115778,199.695611041
830,248.212330345,166.721681599,201.620889443
840,250.895708489,167.865035494,203.494006387
850,254.533393441,169.598215894,205.067602136
860,258.150684085,172.289571315,206.501327064
870,260.772770811,173.417206769,207.647351594
880,265.455845431,176.046360561,209.304917383
890,270.16261788,179.03838881,212.884267596
900,273.106256936,181.229070971,214.912956777
910,277.919957865,182.652380898,217.845631772
920,279.885891921,185.011752543,219.726607011
930,284.029458084,187.388246943,221.586626162
940,285.977744161,189.878215101,223.264550725
950,289.244217948,192.356489445,225.668345123
960,293.421428162,195.52823975,227.867898457
970,297.229791522,197.856069162,229.796659025
980,300.871720498,199.49806626,232.875082419
990,304.277908941,201.350588189,235.003897161
