Time(Iteration),CLUB,LinUCB
0,41.0719911503,41.0719911503
10,137.9155975,111.114469675
20,146.308479042,115.14717335
30,150.897579699,117.718669508
40,153.418006091,119.182511458
50,155.679101209,120.364277957
60,158.847939646,121.802614892
70,160.719512919,123.407755448
80,163.086854846,124.279736179
90,164.088762387,124.832295387
100,165.578317832,125.663891951
110,166.419321301,126.046382232
120,167.681657522,126.556333998
130,168.820264005,126.934997365
140,170.360504557,127.620507106
150,171.256993367,127.965432434
160,172.379761238,128.595199594
170,173.425990637,129.638835509
180,174.681495915,130.106333668
190,175.525140593,130.514365335
