Time(Iteration),CLUB,LinUCB
0,0.947507467834,0.947507467834
10,7.30150351748,5.68072128779
20,8.75589288755,6.17643848383
30,9.7637620497,6.55116473589
40,10.4296488252,6.70954890822
50,10.8941741078,6.75252579722
60,11.2212747881,6.81031222613
70,11.4738621245,6.85206700974
80,11.7234443155,6.89220441542
90,11.9677351518,6.91995945431
100,12.1109761322,7.00741899665
110,12.2101433344,7.01257674094
120,12.3048249084,7.01973623537
130,12.3806919798,7.04384572589
140,12.4458507342,7.05149131226
150,12.6000512632,7.0780225736
160,12.6549827815,7.10259142062
170,12.7187936892,7.12842812594
180,12.7970733344,7.14076781616
190,12.8257484474,7.157165671
200,12.877690106,7.16259681232
210,12.9475291197,7.17125779739
220,12.9757161083,7.18463418665
230,13.0085551009,7.19466584984
240,13.0509613253,7.2211652392
250,13.0700167064,7.22735643726
260,13.0867076444,7.2299877239
270,13.1013567346,7.23631605487
280,13.1434274041,7.24095921858
290,13.1787516502,7.25268417279
300,13.2003975122,7.25647524718
310,13.2368453747,7.26901261511
320,13.2531826156,7.27712835359
330,13.2747043329,7.28018919887
340,13.3145978184,7.30081003121
350,13.3313435637,7.30118223864
360,13.3724279518,7.30691363034
370,13.4256722725,7.31163334047
380,13.4358393143,7.31439929621
390,13.4565693092,7.32124900461
400,13.4774725806,7.32496738441
410,13.5193928436,7.32923060003
420,13.5319393519,7.33531227189
430,13.5455094292,7.34120724253
440,13.5880859155,7.34649893152
450,13.6094075443,7.35263195546
460,13.6292251506,7.35446411292
470,13.6368609831,7.36065814624
480,13.6612377898,7.36355793712
490,13.6813812967,7.3710280706
Time(Iteration),CLUB,LinUCB
0,8.64791718296,8.64791718296
10,90.5974638699,51.749306591
20,117.357915889,58.8428893688
30,132.573717888,62.4792914014
40,143.435260697,64.4186771296
50,152.989981222,65.9236512999
60,159.767629742,67.1525594802
70,166.091736043,68.2345188652
80,171.159308204,69.1900907934
90,175.221493474,70.0351271176
100,178.746085789,70.7465116048
110,181.608113901,71.3823126053
120,184.260299695,71.8856934157
130,186.57176113,72.3338290307
140,188.601078267,72.8148905809
150,190.341664612,73.2322714705
160,192.32186187,73.7825464822
170,194.240522812,74.1952408985
180,195.736903609,74.5649683787
190,197.037324321,74.8655512544
200,198.40654325,75.2082419823
210,199.637820957,75.5080386139
220,200.966201717,75.7797995508
230,202.107408733,76.0560731581
240,203.250591185,76.2920294232
250,204.427298892,76.4820994123
260,205.555506456,76.7463763175
270,206.694342612,77.0110274104
280,207.522484965,77.2094013794
290,208.552842719,77.4401705246
300,209.580307366,77.7028605277
310,210.445907057,77.8870504747
320,211.209157133,78.0425473434
330,211.963392072,78.2178364028
340,212.830091847,78.441993196
350,213.571815638,78.6678845541
360,214.214286561,78.8430210031
370,215.069720947,79.0179767776
380,215.789115712,79.1882280735
390,216.452433855,79.3677990996
400,217.144797562,79.4921906677
410,217.742409266,79.628976322
420,218.46817328,79.8056465716
430,219.018248148,80.0135040403
440,219.625654856,80.145262421
450,220.283039959,80.2529782709
460,220.932309117,80.4277986016
470,221.450978108,80.5629750485
480,222.040354714,80.7343064679
490,222.592998303,80.8828092126
