Time(Iteration),CLUB,CoLin,GOBLin,LinUCB
0,3.42466428082,1.35151531491,3.95409791901,3.42466428082
10,10.510657814,2.06074500965,7.49804346359,9.19248522637
20,11.2184847619,2.08737677224,7.75120724062,9.67927265274
30,11.3727194738,2.10339802451,7.84274843174,9.82895262152
40,11.7554328701,2.1546533848,7.95123135389,9.93887055365
50,11.9906821898,2.19396937365,8.03660268568,10.0439971111
60,12.2445761419,2.20683255198,8.12222040659,10.1148249929
70,12.3950720322,2.23383546574,8.18487078489,10.19160827
80,12.6728001291,2.26964616678,8.27228958221,10.2790270673
90,12.7172981886,2.29627881047,8.27879514909,10.2880882865
100,12.9292173246,2.31503684476,8.29318465556,10.308425818
110,13.0305838593,2.32959635189,8.33138666356,10.3548589778
120,13.1358785308,2.3432768915,8.37913273177,10.3897823823
130,13.1853190363,2.36256333516,8.41074378429,10.4213934348
140,13.2508971427,2.37436176977,8.45715113923,10.4481976245
150,13.3583821501,2.39434042497,8.47748432961,10.4685308149
160,13.5606703221,2.41459794579,8.51881774129,10.5057517688
170,13.687134036,2.42870876167,8.53837306607,10.5253070936
180,13.7511703443,2.44261241137,8.5384626986,10.5271022413
190,13.7791572878,2.46329865642,8.54975063887,10.5383901816
