Time(Iteration),CLUB,LinUCB
0,0.0958263293997,0.0958263293997
10,5.76004847686,4.68878282904
20,10.4167658544,6.86550722936
30,15.7893320937,14.0203347652
40,22.3413066384,17.0215757855
50,29.2982912522,22.4259600135
60,34.5638797398,26.9184164654
70,39.0666421924,30.460807925
80,46.4241961465,37.175913753
90,53.9644897937,39.9994345839
100,58.7936418962,44.1538243321
110,65.3432186025,48.3437100357
120,69.7449360404,52.3327824766
130,75.4585548296,57.9998481901
140,79.8517400777,62.1033748083
150,84.5413473382,64.6187221395
160,88.9858125811,67.3715779692
170,94.2204728032,71.4955218484
180,98.9115408129,75.8816278301
190,102.955326152,79.8138331071
200,109.357258375,85.2215810397
210,116.446959529,88.3293036066
220,123.345828992,93.3304818199
230,129.103003641,98.0606276544
240,134.971734028,103.775067227
250,138.890228658,108.034753106
260,142.777900419,113.494197854
270,150.586776067,118.074866028
280,153.183617931,120.789941849
290,157.226052184,125.047313673
300,161.017746954,127.936625129
310,167.612404511,131.722839062
320,172.980209209,135.55146579
330,177.769381086,139.068609975
340,184.042124688,144.23489447
350,188.116827797,146.73840628
360,194.880041286,149.876627129
370,202.042473648,154.261761981
380,208.588827081,160.387105512
390,212.592327091,164.328371912
400,216.481542926,167.123298658
410,220.887747808,171.400600404
420,226.619817155,176.674804047
430,230.79387745,178.667021912
440,235.967301058,182.708468847
450,241.992118601,185.731540468
460,246.485677843,187.681045567
470,251.073952175,190.099634386
480,255.506530262,195.167295561
490,262.176033577,199.534398631
