Time(Iteration),CLUB,LinUCB
0,nan,nan
Time(Iteration),CLUB,LinUCB
0,0.355462227698,0.355462227698
10,5.63185812867,4.00678447775
20,9.32962824663,8.16278441626
30,12.214836746,9.99650884702
40,15.3764388108,12.5492081342
50,19.106314027,15.5781372213
60,23.4904424337,17.8897585315
70,28.3784791648,21.6094784256
80,32.4486263743,23.9881238598
90,36.973966506,27.5294634115
100,41.4753735823,29.70605234
110,47.5211172189,33.9518148385
120,51.9460813177,36.7927432806
130,55.6611685714,40.565064905
140,59.5738828742,42.6257419704
150,62.5591473202,47.172665748
160,67.0278548445,51.0722367537
170,74.5889653812,55.5117892972
180,77.8270550448,57.5598860197
190,81.1430524874,60.6078457231
