Time(Iteration),CLUB,LinUCB
0,4.25494208723,6.55301415557
10,44.5093444608,13.8242508084
20,62.1499627474,14.082261246
30,76.1996935881,14.1124693588
40,82.945729308,14.1177681303
50,88.6493491838,14.3919142171
60,91.2490816044,14.465523567
70,93.1257924283,14.5023512527
80,94.5005430516,14.542451829
90,95.8335325155,14.9162966323
100,96.8150526434,14.9390014225
110,97.3358983321,15.3681989594
120,98.2359011123,15.408687672
130,99.0419961051,15.4241136404
140,100.53618735,15.4308547819
150,101.119203503,15.4537917477
160,101.699520202,15.4581457625
170,102.324365659,15.4791753386
180,103.300060915,15.4791753386
190,103.783859199,15.4920044964
200,104.236809073,15.5116045713
210,104.905435739,15.5116045713
220,106.321348948,15.8375900837
230,106.993664127,15.8486620372
240,108.027182808,16.1043275155
250,108.668611746,16.107269433
260,109.264852794,16.1074797639
270,110.48334742,16.1074797639
280,110.994810311,16.1260579807
290,111.867700137,16.2269489587
300,112.337590277,16.2444111918
310,113.02280713,16.2666748669
320,113.583119727,16.2686346114
330,114.141135121,16.2686346114
340,114.298043661,16.2884145945
350,115.047722733,16.2884145945
360,115.274002471,16.2957105267
370,116.043286265,16.3280874922
380,116.613813888,16.3408788182
390,117.017065688,16.3619734992
400,117.718774147,16.3621838301
410,118.442753736,16.3718665102
420,119.114649169,16.5011371455
430,119.734848992,16.5013474764
440,120.550369953,16.5925179425
450,121.082287757,16.603589896
460,121.641686438,16.6038002269
470,122.124680675,16.6038002269
480,122.603974928,16.6068208029
490,123.464786405,16.6112751366
500,124.173186234,16.6112751366
510,124.383065085,16.612784178
520,125.016208477,16.612784178
530,125.278443661,16.612784178
540,125.500057675,16.6142932195
550,126.015544135,16.6283299143
560,126.57322031,16.6501026668
570,127.048399501,16.6501026668
580,127.766211756,16.6613849512
590,128.62755795,16.6613849512
600,129.192168252,16.6613849512
610,129.387399602,16.6785336667
620,129.702871131,16.6785336667
630,129.784020071,16.6800460829
640,130.110410025,16.6815584991
650,131.227809023,16.6928407835
660,131.655361239,16.7025234636
670,131.996061642,16.714016079
680,132.450702055,16.714016079
690,133.006194728,16.7155251205
700,133.623627416,16.7283198211
710,134.568049669,16.7283198211
720,135.240394002,16.7552384049
730,135.605444001,16.7552384049
740,136.205474305,16.7665206893
750,136.864340741,16.7792239454
760,137.54417931,16.7874216747
770,138.002186205,16.7890212791
780,138.517388022,16.8003035636
790,138.838918007,16.8003035636
800,139.48782411,16.8003035636
810,139.734012337,16.8115858481
820,140.236929004,16.8325508126
830,140.605693733,16.8325508126
840,141.046139537,16.8325508126
850,141.460856837,16.8422334927
860,141.917683401,16.9094501164
870,142.458611148,16.912859656
880,143.017775253,16.912859656
890,143.496325183,16.912859656
900,143.831960802,17.0910482233
910,144.065833759,17.1023305077
920,144.692277384,17.1023305077
930,145.010162669,17.1023305077
940,145.74814378,17.1214224927
950,146.256896453,17.1214224927
960,146.621387319,17.1214224927
970,147.074726353,17.1214224927
980,147.258989769,17.1331269528
990,147.36660392,17.1333372838
