Time(Iteration),CLUB,SCLUB,LinUCB
0,1.58848017878,5.20337443938,4.95693555713
0,10,50,0.0
10,18.1137842993,20.7166997846,12.1771646013
10,110,550,0.0
20,35.1114824945,25.3971476466,12.5180299582
20,210,1050,0.0
30,43.2770259447,28.1261819289,12.7627084876
30,310,1550,0.0
40,49.6655621121,30.6513309917,12.8630912566
40,410,2050,0.0
50,56.4410019239,31.9409579558,12.8817167891
50,510,2550,0.0
60,61.0944365239,33.0845946981,12.9792273816
60,616,3050,0.0
70,64.2561122908,34.0670370303,13.031156335
70,847,3550,0.0
80,68.0885714989,36.1226250987,13.0538744903
80,1147,4050,0.0
90,71.1489769219,36.9417709503,13.105535072
90,1447,4550,0.0
