Time(Iteration),CLUB,LinUCB
0,0.710366666884,0.710366666884
10,5.55530372643,5.2632403166
20,9.27341605274,9.57746174108
30,12.1283562857,13.2277251975
40,16.2544615014,17.7687888472
50,20.0505169186,20.7518200084
60,24.2606306131,25.833562109
70,27.964532454,31.6665104845
80,30.7673171581,34.9141696913
90,34.3188436869,38.4099889501
100,37.9022017848,43.7449069264
110,43.4007821801,46.9933665031
120,46.8165246328,53.2609946612
130,50.4809210559,56.9161849599
140,55.0530906193,60.6863018756
150,57.8716664927,64.6874644406
160,61.0118096792,69.2466868131
170,66.784421138,74.761229146
180,71.5329449023,79.9238159957
190,76.3742384266,83.5189708771
200,79.7065609394,89.293906093
210,84.7519750071,92.2236538743
220,89.8597391577,96.9100289776
230,94.0778975595,101.880669439
240,97.9882172434,104.273644194
250,100.507919515,109.282536502
260,105.576892185,113.623019393
270,108.55732909,117.82943751
280,113.748307552,122.758327827
290,118.26359005,127.760170293
300,120.786036576,132.376163627
310,124.401884953,136.629582303
320,126.607028565,139.589874954
330,132.039959957,142.852979624
340,135.175306933,144.92604328
350,140.042878811,148.4593872
360,144.865209268,152.329734535
370,151.286016108,154.708634078
380,154.944958412,157.649710394
390,159.795331067,161.071842775
400,163.952768742,167.013643872
410,167.828418795,169.168647498
420,172.003462143,172.669824046
430,174.350665953,175.582825174
440,178.087340604,178.302492803
450,182.135105978,182.600903082
460,187.555459151,186.340747168
470,192.162960238,188.320859006
480,195.937107784,192.128251065
490,199.637575828,197.299927189
