Time(Iteration),CLUB,SCLUB,LinUCB
Time(Iteration),CLUB,SCLUB,LinUCB
Time(Iteration),CLUB,SCLUB,LinUCB
0,43.3416059159,41.5263510181,37.2306762736
5,263.657744612,111.19818676,57.5484273959
10,432.583523392,128.017699412,59.3084086693
15,489.794310728,142.654360373,61.1794252598
20,514.788884159,168.928777027,61.8604196043
25,541.651794708,205.879350655,62.7696363476
30,560.453479648,247.556898529,63.0757623848
35,577.162087327,286.924751048,63.5318913536
40,593.952793427,321.171234418,63.5984020118
45,616.525207673,349.413790384,63.6634810492
50,637.548204652,379.211437093,64.5785251435
55,660.177671297,403.954346066,64.6373020805
60,684.358035358,423.125490547,64.8181257125
65,709.459545493,441.010849262,65.0789902232
70,733.190113331,451.139048808,65.2094057107
75,759.898765953,458.200061962,65.4279604007
80,789.636481949,465.921957954,65.5209707079
85,815.386535469,468.898034764,65.5960776198
90,841.272506005,472.472447011,65.6426578736
95,862.612776567,477.004888165,65.7063781311
100,882.173516161,482.965261615,66.2923435745
105,897.587968942,485.707100424,66.3756189778
110,916.281617064,490.017533286,66.4029647538
115,937.196341273,491.954411351,66.4835284251
120,960.700166114,496.076177989,66.5331292689
125,981.108114754,498.315564048,66.5810659279
130,997.81207018,500.220333402,66.7003958062
135,1011.94310141,501.074391352,66.8748944252
140,1024.03643031,502.412684994,66.9540434961
145,1034.88902107,503.559027681,67.0242247605
150,1049.2492801,506.325800343,67.1145463813
155,1064.96131385,507.604848965,67.1564176878
160,1076.29982953,508.7211172,67.2747015868
165,1091.94993794,510.418283666,67.305572526
170,1110.21463924,512.46235611,67.3814321717
175,1123.81502043,515.649098849,67.4236755263
180,1135.30902388,516.744578233,67.5513279131
185,1145.40907491,518.037074465,67.6199719737
190,1158.19412605,519.202471067,67.6688347876
195,1171.43164486,520.705719688,67.708176347
200,1185.07630961,521.570828475,67.7801637395
205,1201.65349156,524.926291769,67.830117678
210,1216.71375223,529.841747095,68.629630799
215,1233.08810375,534.641020435,68.6673330293
220,1249.19638092,537.344782859,68.7787899675
225,1260.79642987,542.738991777,68.8499477662
230,1270.1805078,546.095140101,68.9658577601
235,1279.98522354,549.711771211,69.032077749
240,1290.69822389,554.197101452,69.1257337826
245,1300.95801533,559.503160058,69.1840434302
250,1310.19682154,561.391754521,69.2259000618
255,1318.74357502,564.602760468,69.2851826658
260,1327.80427519,568.10187237,69.3518651641
265,1336.61698493,572.256604267,69.4572383748
270,1345.71514926,577.992711101,69.5387913155
275,1354.64142637,582.242989159,69.5917806827
280,1366.14387337,584.16144154,69.6828703983
285,1374.31057774,585.292488276,69.7769882253
290,1382.59283998,586.74046181,69.8169739578
295,1388.89574123,587.723880641,69.8578403368
300,1396.14792317,588.837672908,69.9378332163
305,1403.5790464,589.643561923,70.0409543461
310,1412.28557239,590.839972859,70.0672672814
315,1420.288693,591.962521682,70.1276363781
320,1427.23876281,592.460994361,70.1876364185
325,1435.83052172,593.140659156,70.2150892421
330,1443.79667059,593.901740037,70.2360452218
335,1452.06742398,594.411759078,70.2961834612
340,1460.62242352,596.939117894,70.339469806
345,1469.06057704,600.430849995,70.3864135682
350,1479.36416138,603.274417558,70.4124490773
355,1487.83850585,603.842495775,70.6082445318
360,1495.06656148,604.24192267,70.6679390046
365,1502.57254147,604.546361352,70.7430287899
370,1510.81511652,604.980741608,70.7896683588
375,1518.9629597,605.265031427,70.8257129992
380,1527.32859528,605.949840695,70.8702761502
385,1534.64135833,606.558373108,70.9092655254
390,1542.63712442,607.831749905,70.9355237874
395,1550.9285706,608.777062679,70.9710153032
400,1559.13438185,610.353675202,71.0714763674
405,1565.30699457,611.351908139,71.1737602177
410,1572.97742066,612.166362241,71.1783272615
415,1581.42704342,612.822318933,71.2361868902
420,1587.78645688,613.682414934,71.2838917336
425,1595.84154604,614.50295744,71.3422013991
430,1603.32694674,614.979218104,71.3724922879
435,1610.56045985,615.617118462,71.4221900794
440,1619.23545567,616.34860434,71.4468588767
445,1627.321146,617.398273893,71.5107273038
450,1637.03967709,618.253519829,71.5689978788
455,1644.01351192,619.166084933,71.6159371423
460,1652.63756567,619.883127511,71.6909107287
465,1658.85727733,620.671554571,71.690976746
470,1666.65116846,621.677127722,71.7134232807
475,1672.55628078,622.25337625,71.7375648826
480,1680.18366099,622.985991074,71.7810990115
485,1688.7501744,624.189247664,71.8469435419
490,1694.85715219,625.200190887,71.8929394051
495,1701.86805651,625.882798615,71.9120553474
