Time(Iteration),CLUB,SCLUB,LinUCB
0,3.38909839364,2.74581676682,2.73324937095
10,34.0729833546,34.0217552464,24.2106411618
20,64.7568753384,60.2153652723,34.5019666335
30,94.9210196381,75.7513660906,38.6198105419
40,123.908372628,92.3468575208,41.4405667263
50,154.654848985,111.280062471,44.6180371034
60,182.314109902,128.232184004,46.2827101149
70,210.726969492,140.949765732,47.3615131502
80,234.759940833,154.080256298,48.8235329451
90,251.103159027,164.570998536,50.0116072694
100,264.085299124,174.309496866,51.1307672444
110,274.968304717,183.9861001,51.7999951537
120,290.78621582,192.411893265,52.4017099926
130,304.973436379,200.78382066,53.1934593814
140,314.981753571,209.437253631,54.0605273814
150,327.541434198,217.261814829,54.9608443223
160,340.078381196,226.570280155,55.9659533025
170,351.948460082,234.647843062,56.4996771622
180,360.864547284,242.583733978,56.9327157932
190,370.329898582,248.242044462,57.7974650646
200,381.258357601,253.730771306,58.4325125952
210,388.634170583,257.541076904,58.8734835782
220,395.485320202,261.969337756,59.2626805398
230,401.746160715,264.804316871,59.8286251472
240,406.175201335,267.640517825,60.2394008433
250,408.8233675,270.712069061,60.6472352661
260,412.671497513,274.397458401,60.9989991515
270,415.95561438,277.249412185,61.2998967353
280,418.78706789,280.958389927,61.9168078931
