Time(Iteration),CLUB,CoLin,GOBLin,LinUCB
0,3.7046537932,0.539264266082,0.0613858124246,3.7046537932
10,10.9857281545,1.17808049392,1.81465569398,9.03799357759
20,12.3585757447,1.40532751459,2.17940821771,9.78315016807
30,12.6036735034,1.58518018973,2.32338474386,9.9058329718
40,12.849917989,1.64759030865,2.44468289671,10.1582832014
50,13.0020882096,1.68509751585,2.51669956548,10.1685911246
60,13.0838818541,1.72059738432,2.57136631014,10.2102155424
70,13.411446522,1.79796560445,2.63715075832,10.7610996476
80,13.6536749627,1.82075760312,2.79120836695,10.773070018
90,13.7684484292,1.88899116444,2.80905034654,10.7909119976
100,13.9726664297,2.05260410974,2.86294946468,10.897724485
110,14.0729836001,2.081961342,2.88898734466,10.923762365
120,14.2366660513,2.11316251231,2.92361121162,10.958386232
130,14.4846995274,2.11890935807,3.14527515293,10.9650436207
140,14.519637143,2.14367794601,3.15549988483,10.9751946108
150,14.6034963389,2.15277427251,3.27895191253,11.0146972467
160,14.6761899277,2.33614236838,3.28899787443,11.0247432086
170,14.8339856378,2.35729296459,3.36477441796,11.1005197522
180,14.9367939661,2.35736001396,3.36722410376,11.102969438
190,15.0205906856,2.36262368175,3.66396536321,11.1647487187
