Time(Iteration),CLUB,SCLUB,LinUCB
0,4.63879299274,4.3163619622,4.7384356905
10,51.0267229202,21.2486710298,9.74957893671
20,97.4146528476,33.5960161746,10.6295101337
30,143.802582775,43.955927916,11.5038620994
40,190.190512702,52.1360093325,12.1310728666
50,236.57844263,61.6394960622,12.2162076985
60,275.588196787,68.5946809974,12.6419566231
70,306.177634924,75.4980715598,12.8366377593
80,333.226218603,82.453256495,13.1519777667
90,358.241768735,89.3070321072,13.2371125986
Time(Iteration),CLUB,SCLUB,LinUCB
0,6.55901078917,3.88176566812,3.55890028362
10,39.3129329026,19.3836337782,10.2068935131
20,72.066855016,28.3662774209,10.6534596476
30,104.820777129,35.7518342613,10.8531361558
40,137.574699243,37.5706365174,11.0321663583
50,170.328621356,40.2527963796,11.0776034592
60,203.08254347,43.9767664933,11.4550979805
70,235.836465583,48.4609340386,11.7545720848
80,268.590387697,50.7618833561,11.8320147666
90,301.34430981,56.8981071495,11.9996856939
100,322.250378139,58.3731566975,12.0657691004
110,324.87304397,60.0233742786,12.1112062013
120,327.551110911,61.3616790115,12.2675178534
130,329.474273529,62.695638352,12.3997515553
140,332.069607562,65.1278783943,12.4224701058
150,335.022838044,67.3244703062,12.5291422851
160,337.95564629,69.4807382289,12.5810903332
170,338.860992299,71.8795114186,12.6358144645
180,339.806895435,77.267440867,12.6471737397
190,340.479650833,80.332809469,12.7308910382
