Time(Iteration),CLUB,SCLUB,LinUCB
0,3.59691396685,4.31123311594,4.33199764471
10,36.5435328188,20.2278326838,11.7010029398
20,64.1225899246,24.8395646923,12.113453961
30,83.4538736105,32.328630011,12.2545928538
40,91.8540921829,39.3647018241,12.4236444989
50,98.2916915104,45.2899654292,12.517569476
60,105.035365265,48.9798585846,12.5455007927
70,112.613888437,53.8572694984,12.787804595
80,120.551673394,57.9568248224,12.8314060911
90,130.008600485,60.9984194615,12.890856019
100,138.183570161,65.9428028585,12.9472935124
110,146.52741735,70.6781991743,13.0807233381
120,154.687726717,74.6590954898,13.3313373755
130,161.814984926,78.4153594028,13.3720805598
140,167.997465759,81.8989036854,13.4717526385
150,176.100669994,85.0902605303,13.4884679816
160,180.520986546,88.1627895744,13.5513091952
170,185.49116913,92.1497799927,13.6239138416
180,189.64101811,95.5809676806,13.6917434831
190,193.238441016,99.0017834098,13.7519819423
