Time(Iteration),CLUB,CoLin,GOBLin,LinUCB
0,2.87529375562,2.57710640485,2.95423181634,2.87529375562
10,9.0879817282,7.43804107153,8.73244761002,7.64287444007
20,9.7082160126,7.55611902861,9.17304952931,7.88426091156
30,10.0146872758,7.60964544287,9.28667634066,7.93424885516
40,10.3060023135,7.62313855931,9.3955527976,8.0453415189
50,10.6204754363,7.64665795575,9.52763608381,8.16986364749
60,10.7486919605,7.66000804628,9.6639077608,8.24033303649
70,10.9189267077,7.68117188643,9.76470330095,8.3057144101
80,10.9743269304,7.69660464139,9.7994989841,8.34499180712
90,11.1826574469,7.70920441187,9.89824480024,8.50143512539
100,11.4532156481,7.70920441187,9.92517310674,8.52836343189
110,11.5809540769,7.70942152896,9.93538453098,8.53857485613
120,11.6149910498,7.71761611855,9.94360139432,8.53857485613
130,11.7715834538,7.71761611855,9.97445620066,8.58124374728
140,11.9096665676,7.73321071793,10.056883188,8.6156464876
150,12.0436651491,7.75104031694,10.1143815618,8.68768702587
160,12.12572293,7.75573800812,10.1389080139,8.71221347801
170,12.2646904845,7.76469209943,10.1521068883,8.72541235239
180,12.3173013667,7.76610935655,10.1644070183,8.73771248236
190,12.4175787351,7.76918886227,10.2159006515,8.78920611564
