CLUB,31.4974784083
LinUCB,31.3517765347
CLUB,36.0027521301
LinUCB,33.6877824952
CLUB,43.6122004814
LinUCB,33.7997185948
CLUB,24.6703211624
LinUCB,32.6831951032
CLUB,46.5996797907
LinUCB,32.1572926991
CLUB,62.4542945044
LinUCB,42.5903033786
CLUB,23.357817131
LinUCB,24.7894781348
CLUB,36.4661550118
LinUCB,25.3806923482
CLUB,28.7910234281
LinUCB,22.820781617
CLUB,42.6115307003
SCLUB,41.106943703
LinUCB,41.232797864
CLUB,65.667815515
SCLUB,41.3494420272
LinUCB,37.7495961817
CLUB,47.395538723
SCLUB,55.1420307788
LinUCB,45.6050577298
CLUB,21.3799721303
SCLUB,30.3527075681
LinUCB,26.2661061327
CLUB,45.0759254623
SCLUB,57.5170675697
LinUCB,44.5436158466
CLUB,68.7267708711
SCLUB,64.5963223903
LinUCB,61.9474784089
CLUB,50.6497066752
SCLUB,44.4684634499
LinUCB,39.7042586031
CLUB,79.639068396
SCLUB,45.7771387284
LinUCB,44.426183912
CLUB,21.5376357652
SCLUB,16.8785909686
LinUCB,24.6337776447
CLUB,17.5122608375
SCLUB,20.2597937519
LinUCB,20.2686590412
CLUB,19.1961771981
SCLUB,27.2037484373
LinUCB,22.4809729172
CLUB,27.0964204655
SCLUB,28.0048464385
LinUCB,21.4627981869
