Time(Iteration),CLUB,SCLUB,LinUCB
0,4.63118549885,3.86764478344,3.27795813536
10,39.1900392192,33.8794563357,10.2911316407
20,54.7450830043,39.2763718705,10.9512953474
30,67.0088378144,46.7219818077,11.1274107961
40,84.2459031296,51.6398705951,11.1942423801
50,98.1099155137,58.8933675754,11.3232317042
60,114.956989055,67.7482386231,11.4174074605
70,128.874679009,74.6941209659,11.4663078626
80,142.206590653,81.1516219404,11.5637183235
90,151.125854575,84.1949965436,11.6719848261
100,157.292587543,87.5277207117,11.7170171477
110,161.344421395,90.4093802762,11.7284045612
120,164.435895184,93.147433413,11.7377307477
130,166.972430656,96.4563146039,11.7627589063
140,168.766544869,99.9922404238,11.839505829
150,172.053309903,103.198634842,11.8714994987
160,174.471518251,107.010097371,11.9107480873
170,176.408585603,112.016357612,11.9268404833
180,178.586542058,114.568834744,11.9268942233
190,181.142961797,115.842921866,11.9756402904
