Time(Iteration),CLUB,LinUCB
0,0.932182061425,0.932182061425
10,6.59401419766,7.08039014696
20,11.2327533864,11.8062730212
30,16.9143065541,16.9965060721
40,20.8724432111,21.4464322316
50,24.6526783674,26.4471651086
60,28.6185178629,30.721144681
70,33.0428106747,34.9810811335
80,37.9930347965,39.8099155169
90,43.5684273609,44.0689634265
100,49.665200584,49.5320928897
110,55.6850391996,53.2680478759
120,59.4529427584,55.4152116646
130,63.718656757,59.4798391019
140,68.8748312505,64.1197199306
150,72.5148433317,68.04112309
160,77.1839534935,70.4655898066
170,81.6455729983,76.683498458
180,86.0182784666,80.253995239
190,90.4237390413,84.0184868931
