0,0.263812319575,0.263812319575
10,2.25189555907,1.89493039728
20,3.70629980062,2.99280174992
30,5.46393584477,4.00253333371
40,6.69508125237,5.40762798156
50,8.34600814569,6.78928186309
60,9.65855251301,8.03654477283
70,10.8989499335,9.79148717164
80,13.0061768831,11.5137657989
90,14.3424960886,12.8568109599
100,15.5749283162,13.6571702769
110,15.9971769286,15.0899571117
120,17.0034416235,16.5587796556
130,18.2242817943,17.7677043831
140,19.7495634202,19.3419955094
150,20.9931540787,20.5332011156
160,22.1926208364,22.1087703367
170,23.012416678,22.8853096903
180,24.2896332188,24.1754709868
190,25.356602088,25.5488415383
200,26.2446742627,26.8350498154
210,26.9610564815,27.860469007
220,28.1724845412,29.0158650686
230,29.2084256206,29.6061057153
240,30.0851141621,31.2614754242
250,30.7365626174,32.5393988802
260,31.7556713551,33.8777817767
270,32.774335458,35.2905465335
280,34.0427084279,36.5592463484
290,35.8728636365,37.5248010512
300,37.3869991726,38.692105469
310,38.3022890735,40.2910622995
320,39.5797774594,41.5772839138
330,40.7508007129,43.1290518345
340,42.1411013963,44.2524744171
350,43.7621755825,45.2082036373
360,45.0012445049,46.472678115
370,46.2315775532,48.0359092297
380,46.9493978191,48.8275840272
390,47.9019628796,49.9763311763
400,49.0555092247,51.3021604978
410,50.3201542115,51.898835391
420,51.34997976,53.0319411064
430,52.8825127397,54.1465469058
440,54.177876013,55.027446721
450,55.1655099216,56.6227424154
460,56.2950983145,57.746209836
470,57.7024176995,58.7790630564
480,58.7169545467,59.8313087707
490,59.8303938386,60.8906121664
500,61.6338592072,62.1875603646
510,63.7444845215,63.8457929373
520,64.9276906628,64.8996860205
530,66.0411063613,66.3109863068
540,67.4325994748,67.3745910466
550,68.530017447,68.3373972447
560,69.8950971536,69.3739290179
570,71.2991153456,70.6451610556
580,72.6994750443,71.7713351265
590,74.3498613736,73.1069375969
600,75.9026884524,73.9434550849
610,77.5159030688,75.5073749921
620,78.9183880474,77.0943805344
630,80.2137926543,78.2989523447
640,81.3109601342,79.4750582396
650,82.4425866371,80.6767348161
660,83.8746931827,82.0661405288
670,85.6480378878,83.5231697693
680,87.2866462669,85.0154457073
690,88.7548427529,86.1211140274
700,90.0920041114,86.5477363173
710,91.7326692714,88.5658895248
720,93.0104098443,89.2240224023
730,93.9883389579,90.2628121236
740,95.2785980226,91.8071585806
750,96.2646682701,93.1748127192
760,97.9336758119,94.4147852168
