Time(Iteration),CLUB,LinUCB
0,2.62923161813,3.58381496308
10,21.4385566278,11.9825131719
20,37.7647246905,12.1875184518
30,54.8901554968,12.4338890126
40,67.5908106832,12.5544525722
50,77.8722403461,12.5979016548
60,84.0648774801,12.6230667667
70,91.681606184,12.7208752586
80,96.964073652,12.7847838581
90,104.797983956,12.7914927087
100,109.825859419,12.7956805265
110,113.631795146,12.832528032
120,118.456399527,12.8561820569
130,121.426156152,12.9520765692
140,125.69751778,12.9826962021
150,128.307666572,12.9868958344
160,132.386482384,13.0199593843
170,135.745908812,13.0200236226
180,138.429710141,13.0200236226
190,141.098449221,13.0249093595
200,143.221755817,13.0295726883
210,144.9511986,13.0333744101
220,146.471383351,13.0354224879
230,147.596148444,13.0369970493
240,149.283464791,13.0490280293
250,150.302281577,13.0653222153
260,151.690383721,13.0901893359
270,152.930028759,13.0916281168
280,154.014347357,13.0916281168
290,155.655426422,13.0980448523
300,157.961905133,13.1034635719
310,159.146391428,13.108362047
320,160.460691035,13.1239604927
330,161.826754331,13.1239604927
340,163.699167626,13.1312123289
350,165.261044607,13.1341440446
360,166.82262829,13.1418158547
370,168.355984614,13.142453889
380,170.228616601,13.142453889
390,171.439317245,13.142453889
400,173.015309725,13.1458401988
410,174.572961916,13.1477367668
420,176.473628596,13.1494476695
430,177.528096921,13.16166817
440,178.782157382,13.16860994
450,179.742955786,13.1726619772
460,181.541169589,13.1744859318
470,182.599524418,13.1744859318
480,183.783124737,13.1751571951
490,185.66247245,13.1895610608
500,186.62638379,13.2051183125
510,188.564489807,13.2184708923
520,189.599675789,13.2418146913
530,191.078334053,13.2500492158
540,192.01276352,13.2530495664
550,192.315148385,13.2670494156
560,192.423118201,13.2670494156
570,192.812291243,13.2710529024
580,193.212860684,13.2710529024
590,193.744008183,13.2713022955
600,194.598841452,13.2728777154
610,194.838980879,13.2731801712
620,195.368365062,13.27808381
630,195.671516218,13.2795225909
640,196.49032774,13.2795225909
650,197.081666935,13.2795225909
660,197.268154557,13.2825211042
670,197.268154557,13.2825211042
680,197.304298227,13.2929452474
690,197.365052346,13.3111035712
700,197.462235741,13.3208856926
710,197.516418517,13.3317395789
720,197.554361932,13.3423025278
730,197.559379938,13.3443793431
740,197.577972246,13.3552832677
750,197.651921846,13.3683674104
760,197.69376345,13.3683674104
770,197.716209986,13.3683674104
780,197.736064569,13.3726090362
790,197.736064569,13.3726090362
800,197.736064569,13.3726090362
810,197.743435471,13.3777243782
820,197.794730931,13.381186113
830,197.810832769,13.3851865393
840,197.823207204,13.3867031182
850,197.83155728,13.3879814794
860,197.846564521,13.3895560409
870,197.851490266,13.3895560409
880,197.863215531,13.3917655443
890,197.866966167,13.3920037619
900,197.893026511,13.3920037619
910,197.926936489,13.3922419794
920,197.93582761,13.3922419794
930,197.97191266,13.3968069194
940,197.989618966,13.4045802278
950,198.008362909,13.4072178513
960,198.040489511,13.4078558856
970,198.047444405,13.4078558856
980,198.067532588,13.4080941032
990,198.07960846,13.4144019964
