Time(Iteration),CLUB,SCLUB,LinUCB
0,2.36025039216,3.44664405253,2.6645001865
10,32.4537600433,28.3091241545,14.4381494706
20,60.7248171757,42.2193126399,14.7190352295
30,80.9421000161,50.4408895517,14.8666553177
40,89.3696995411,58.5567273292,14.9229036643
50,97.9845793768,67.8747465305,14.989015434
60,110.806681411,73.3626583901,15.0031309658
70,122.838576467,76.7456527223,15.0300246074
80,133.107603317,79.2082565805,15.0472442246
90,141.722175143,81.6568662033,15.0953967952
100,149.716894417,83.8613450216,15.1399512096
110,158.127108785,85.5436427488,15.1761143511
120,166.863779773,86.7026819428,15.193658612
130,172.491352825,88.7759225928,15.2459150536
140,181.210788854,90.0859351107,15.2555545943
150,189.004020136,92.193088399,15.2612632848
160,198.207173964,93.8106640087,15.2747474542
170,205.953084042,95.0636682495,15.2874488725
180,214.20963508,97.1457563082,15.2967215437
190,222.257587153,100.16513516,15.3137225058
