Time(Iteration),CLUB,LinUCB
0,0.838727951841,0.838727951841
10,3.2341646862,5.93549381759
20,6.05699024645,11.3154795225
30,9.92507957968,14.7738888372
40,12.4222562132,17.8894383166
50,14.9275956795,20.7485356252
60,16.3866360927,23.3009528752
70,19.4629551795,27.5147172785
80,21.8913247016,30.771690184
90,24.6703211624,32.6831951032
Time(Iteration),CLUB,LinUCB
0,0.804189852597,0.804189852597
10,5.66734612434,3.65930328095
20,10.3699980619,8.00062258137
30,14.8450387317,10.7001073506
40,20.2242522829,14.7634243768
50,26.0644949866,17.1865803942
60,32.5088132593,21.0912102078
70,37.6553977594,24.3205024904
80,42.6791764074,27.4245249706
90,46.5996797907,32.1572926991
