Time(Iteration),LinUCB
0,1.55694156248
10,14.2614697987
20,19.5935841823
30,21.8784724579
40,23.3941793935
50,24.5081560919
60,25.1100498469
70,25.7063436698
80,26.3981267851
90,26.6559814547
100,26.9499976561
110,27.3166051389
120,27.5225075405
130,27.7030043763
140,27.9904074702
150,28.2807084914
160,28.4849852453
170,28.7721221384
180,28.9491795766
190,29.0488153154
