Time(Iteration),CLUB,SCLUB,LinUCB
Time(Iteration),CLUB,SCLUB,LinUCB
0,7.29045488369,6.02207914909,4.70785246703
10,48.1199984347,20.2997971466,15.0621456257
20,65.8617020331,26.8179591848,17.257835572
30,68.8692809309,31.0437215388,17.4642371348
40,72.6807306239,33.255825565,17.708388956
50,74.8603026255,34.9374549351,18.3611402296
60,76.6515674813,36.0535088819,18.4207861656
70,79.9560957304,37.8954978673,18.7111317015
80,82.3607135527,39.4418033179,18.7111317015
90,86.6124375626,40.1315671391,18.7537138058
100,95.0286911366,42.0894959977,18.7537138058
110,99.4626062896,42.9463792756,18.7634055455
120,106.985741799,43.5212592445,18.7736519862
130,111.342258849,47.0016434181,18.7885364337
140,115.991234799,47.7968864781,18.8317928444
150,118.352766722,47.966178187,18.8317928444
160,119.701490178,48.14549954,18.8440183145
170,120.95129885,48.2869504498,18.8714640036
180,121.599607259,48.8182612564,18.8714640036
190,122.695848241,49.8771153365,18.8795330651
200,123.18573875,50.0334502269,18.8795330651
210,123.549576949,50.3489935109,18.882515461
220,124.009688729,50.4376747424,18.9042421496
230,124.352909186,50.6310768459,18.9117140539
240,124.98695804,51.1486515905,18.9117140539
250,125.347533769,51.2921207954,18.9245195181
260,126.086253155,51.4967005529,18.9245195181
270,126.324733841,51.627209864,18.9245195181
280,126.474073227,52.1473875749,18.9279347363
290,126.525477842,52.5085144718,18.9279347363
300,127.02922425,52.6150183541,18.9308302472
310,127.119757687,52.9031976114,18.9643671143
320,127.557362714,53.1907860456,18.9643671143
330,128.016345028,53.365939426,18.9643671143
340,128.318130528,53.4953820972,18.9679227851
350,128.790876807,53.6460775333,18.9679227851
360,129.379442783,53.9604009884,18.9679227851
370,129.763311488,54.6115551495,18.9807282493
380,129.822096356,54.8796604553,19.0390369348
390,130.148920234,55.0908705416,19.0902587265
400,130.440559573,55.3703972732,19.0902587265
410,130.661364962,55.6173325794,19.1127060403
420,130.888295914,55.8649916133,19.1127060403
430,131.013406153,56.1703562123,19.1434977003
440,131.244580012,56.4009612581,19.1470817154
450,131.597205,56.5053685202,19.1470817154
460,131.68481273,56.5929762504,19.1506373861
470,131.721366137,56.8887220491,19.1506373861
480,131.878492977,56.952197444,19.1526306663
490,131.985226207,57.5085718225,19.156186337
500,132.004447119,57.9275712588,19.156186337
510,132.314261999,57.9670825029,19.1648839709
520,132.37722513,58.0300456337,19.2137168269
530,132.557256447,58.2221663861,19.2188587901
540,132.599091816,58.2640017551,19.2190142099
550,132.930495466,58.6171989941,19.2403558198
560,133.445872062,58.9570320764,19.2403558198
570,133.696218277,59.1289163239,19.3321868611
580,133.987705256,59.1778076262,19.3344885488
590,133.991910812,59.371756251,19.3344885488
600,134.341425149,59.5392941152,19.349781926
610,134.485212465,59.7032240267,19.349781926
620,134.495137184,59.984888756,19.349781926
630,134.633535118,60.2632154145,19.349781926
640,134.919530123,60.5831829019,19.3645150782
650,134.93214679,60.5957995689,19.3645150782
660,135.22976567,60.896076941,19.3668167659
670,135.453689773,61.2580528307,19.3711595074
680,135.676339775,61.2754288686,19.3711595074
690,135.70723495,61.4953923028,19.3711595074
700,135.960440093,61.5159488058,19.3711595074
710,136.086704109,61.6352136648,19.3711595074
720,136.271150244,61.9555938345,19.3786314117
730,136.363270383,62.4127175227,19.4202132691
740,136.393939783,62.8188214747,19.4202132691
750,136.697576292,62.9408476014,19.4330187333
760,136.749427528,63.1518255905,19.4369687501
770,136.875243272,63.4238893131,19.4428893704
780,137.008100619,63.4455971388,19.4428893704
790,137.274920797,63.8313530319,19.4451910581
800,137.57790069,63.996849928,19.4487750731
810,137.608138253,64.1786902624,19.4487750731
820,137.688227431,64.3429514561,19.4510767608
830,137.986334906,64.7609522637,19.4546324315
840,138.020314335,65.1787116459,19.4582164465
850,138.223778536,65.3309540548,19.4582164465
860,138.532044051,65.5384198862,19.4765052695
870,138.726646935,65.8534745174,19.4765052695
880,139.10480948,65.9830012168,19.485616297
890,139.180162702,66.0583544384,19.485616297
900,139.260195399,66.7853086175,19.4997260892
910,139.592763883,67.0008326851,19.5020277769
920,139.999115763,67.4312461431,19.5020277769
930,140.219462917,67.453650202,19.5020277769
940,140.425523194,67.5772249171,19.5056117919
950,140.593357085,67.6843270439,19.5067174957
960,140.612768178,67.7126961006,19.5067174957
970,141.040746678,67.9093797246,19.8777228444
980,141.063586136,68.035037642,19.882830138
990,141.067791691,68.4322824805,19.882830138
