Time(Iteration),CLUB,LinUCB
Time(Iteration),CLUB,LinUCB
0,32.6959058983,32.6959058983
10,151.05543931,99.4934823226
20,163.76438019,109.343453576
30,170.309316118,117.267301301
40,176.450364805,126.34173804
50,180.924575932,132.078397405
60,185.632669273,136.559670309
70,189.464226254,139.463081381
80,193.442064165,141.551975555
90,197.067445495,142.84704293
100,200.287994567,144.197453161
110,202.912938191,145.468263887
120,205.938582078,146.860953017
130,208.760342806,147.943990072
140,211.04151089,148.68764132
150,213.285990739,150.82243328
160,215.888211444,152.322629741
170,218.573307929,153.071738546
180,220.562379207,154.20599823
190,222.32241537,155.247928581
Time(Iteration),CLUB,LinUCB
0,2.29915657231,2.29915657231
10,9.62958284301,8.05502599003
20,10.4637352622,8.37859082413
30,10.7504373662,8.53036474236
40,11.0702298011,8.56727207724
50,11.3815516633,8.71387164606
60,11.7485839562,8.78950061876
70,12.0217248249,8.93669804627
80,12.2461274409,9.04922088433
90,12.5897461592,9.12909874315
100,12.7036847877,9.19802645647
110,12.823476773,9.23912699857
120,13.0285390037,9.32340326313
130,13.2364297376,9.48344949677
140,13.3809557805,9.55764886224
150,13.4291745388,9.57571248012
160,13.60142989,9.65832765793
170,13.7525010079,9.75416938586
180,13.8068172719,9.75914920694
190,13.8745308544,9.78608700709
