Time(Iteration),CLUB,CoLin,GOBLin,LinUCB
0,1.87516384384,1.40385587252,4.94922824748,1.87516384384
10,7.54737850729,3.01521763375,8.44279714904,5.84182286866
20,8.12482742583,3.34650981232,8.81879088059,6.05925540787
30,8.46335239745,3.43773450252,8.97527543267,6.28277771153
40,8.74254347541,3.55931520582,9.057219726,6.41686140549
50,9.13366619916,3.61841114664,9.1471412448,6.51467958142
60,9.3075970976,3.67294252645,9.22106880427,6.5720656768
70,9.45298338885,3.70148914727,9.25226051485,6.59885383515
80,9.55059952469,3.73883260105,9.2763372281,6.61190498896
90,9.57438130701,3.7908090263,9.2763372281,6.61190498896
100,9.66562020413,3.80992439102,9.29642572024,6.6319934811
110,9.71005862617,3.82833138506,9.32938976941,6.66585986608
120,9.77218819938,3.84690214993,9.38229551934,6.71162742023
130,9.91307917575,3.86665417396,9.43370287087,6.77943569735
140,9.96929617632,3.86833617348,9.4475977049,6.81501354616
150,10.0083104157,3.88595404156,9.459658634,6.83607636239
160,10.0768452859,3.92426500299,9.47272003004,6.84913775843
170,10.0969245932,3.93292026965,9.47733935455,6.84973209208
180,10.1711222912,3.96729490032,9.49803223064,6.87920255082
190,10.205548221,3.96729490032,9.52608418981,6.8976723246
