Time(Iteration),CLUB,LinUCB
0,0.833586521005,0.833586521005
10,5.40805480876,6.14963907088
20,8.49044506259,9.14041277113
30,13.1933074724,12.9707884438
40,17.1387265381,16.9357570139
50,22.6891819626,20.6129315187
60,27.2196894463,23.8838622555
70,30.5093903115,28.3027691726
80,34.6134286053,32.1192576282
90,38.5474536248,36.2263794416
100,41.51016769,39.0454610255
110,44.4365811861,44.3936414732
120,47.9247574237,47.9048717511
130,50.32477553,51.781651574
140,53.2558229401,55.6433393078
150,57.4688627763,60.6626370724
160,61.1346115126,65.4182340777
170,65.4615578246,68.6453272002
180,68.0723722888,72.6762568775
190,70.9831461006,77.6043779597
200,74.860547599,80.0943088883
210,78.7250336815,84.079437955
220,82.8275368769,88.582132624
230,85.3904086639,92.2738060745
240,89.0092244154,96.4265755915
250,93.0662550801,100.006833138
260,95.5099284397,104.526188921
270,98.9541548221,107.946776885
280,102.373561685,113.352415734
290,106.977913039,115.918934537
300,110.011512436,118.191631317
310,115.464702446,122.569687786
320,119.15526544,125.920220582
330,122.521422179,130.099922285
340,124.970257005,132.432172103
350,130.637571523,137.336141032
360,134.799173263,143.642409462
370,138.87501336,145.573201911
380,141.69044564,149.115583438
390,144.457583594,153.293808987
400,148.05910795,156.907438879
410,151.624162525,159.858408199
420,153.920125266,163.875732604
430,156.593067146,167.757535116
440,160.847177049,171.895245863
450,164.287598436,175.774258585
460,166.886932804,179.389156996
470,170.308541067,183.151227378
480,174.379120729,186.623844878
490,177.344252569,191.416488733
500,180.036887209,195.667567476
510,183.867499481,198.374975997
520,186.624387723,200.379186599
530,189.850690322,203.895720717
540,194.280790319,206.41159141
550,199.570295911,208.984140283
560,202.746823037,213.978000584
570,206.150604373,217.537643665
580,209.526367036,220.75205923
590,213.07403779,224.42029148
600,216.644922738,227.431965109
610,218.708951518,231.168065387
620,222.211478621,235.338836612
630,225.516752065,236.83586648
640,227.535221624,239.596413509
650,230.088460876,242.121087254
660,233.028561132,246.4593493
670,237.516693754,247.390694656
680,242.127332586,251.017786288
690,245.458161508,254.732111137
700,248.529951571,259.159141121
710,252.03624777,264.824794186
720,255.295991347,269.006655874
730,259.369741102,273.903727944
740,263.74946037,277.893211166
750,267.926361541,283.660234013
760,271.811675384,285.585601842
770,276.178150052,287.325928729
780,279.533797112,291.211219199
790,283.952343832,294.697378136
800,287.374847473,296.994329068
810,290.208160357,301.968246384
820,293.313558593,306.62614616
830,299.378473439,308.849849915
840,305.646891383,311.891434361
850,310.134531409,316.462738881
860,314.504959578,318.703575978
870,318.999917093,321.558481174
880,324.410464571,323.441514116
890,329.850017433,326.210812433
900,333.524119729,329.541383173
910,338.366674894,333.181653131
920,341.985686715,335.589251837
930,345.184367619,339.435243439
940,349.678866833,342.81539987
950,354.467598406,346.945560359
960,360.449779632,349.949588712
970,364.125972448,353.07631737
980,367.293250258,356.997597721
990,373.81859484,360.532703659
