Time(Iteration),CLUB,SCLUB,LinUCB
0,0.528642189881,0.528642189881,0.528642189881
10,4.86683348936,2.45366058407,2.69316547209
20,7.62728771494,4.46679599042,5.90875769221
30,9.21252613947,6.52304768337,7.59743374126
40,12.8888121341,8.07105634905,11.430647668
50,14.7430310313,8.85660961748,12.5946681123
60,17.9064274587,11.1787019226,15.3882790678
70,20.4722691785,13.3241233741,17.6463788386
80,24.4670658534,14.9270492024,20.4614218318
90,27.0401516803,16.9225435761,22.2276605866
100,29.677119305,19.2959499784,25.4602815929
110,33.3896166335,19.6863568722,27.5860649344
120,36.7484294934,20.0880783091,30.3438610726
130,40.7015200192,21.2515546367,33.0963337906
140,41.9711065567,22.7929931679,34.6406629884
150,45.2780039099,24.8500902236,36.8944458204
160,48.5144825898,27.3741207789,38.7023990893
170,51.8491794792,29.1217529703,40.3080204635
180,54.9017772601,30.9774116831,41.7314000234
190,57.3971951257,33.3282384608,43.6969253609
200,63.2886173811,34.5952616556,46.7768189586
210,66.7710963256,36.3365560151,49.1789177832
220,69.369380817,37.5076650988,51.9798458029
230,72.0427110574,39.6181419198,53.5062578708
240,74.581896934,40.5364244613,54.8552106236
250,77.3957590853,41.6399131059,57.7742771681
260,80.2394155255,44.1966989564,60.5698876452
270,82.1268435543,46.8279735304,63.1190713229
280,86.1508700136,47.6766870488,66.5011406286
290,90.4175115896,49.7915579433,70.2170402918
300,93.3042991995,51.9958387371,72.1894173867
310,96.2074553183,54.196650633,74.1219880594
320,100.516927635,56.2590710247,78.3717519847
330,104.535438495,59.0474804926,81.8538957561
340,106.149965851,60.453917244,83.0107584212
350,110.269404883,62.5759675657,86.1524021144
360,114.147528703,65.5718353565,89.5708068789
370,118.21672897,67.0276608915,91.797065664
380,121.540811677,68.0843972889,94.44250202
390,125.142839881,69.15578055,96.7681093456
400,127.414488668,72.3685677769,98.8452565857
410,130.488198664,73.642165868,99.7356906211
420,132.918876448,76.0106423531,100.959918994
430,135.572038031,76.5153936992,103.024122033
440,137.749012053,77.8242784392,105.276925058
450,139.073937563,79.9723520459,107.600232928
460,142.194379569,81.6324555446,109.424638942
470,144.445988436,82.5835441117,111.198723021
480,146.919480899,83.3017749258,112.856011115
490,150.437744789,85.7413652291,114.981959074
500,152.971458101,88.2344016082,117.411068724
510,156.825709234,90.4823830317,120.652068609
520,159.635924616,92.4806826894,122.107962967
530,163.088528776,94.7122542905,124.470497684
540,166.513921724,96.3726111834,127.262242471
550,168.275901066,98.7726187099,129.0847323
560,172.084024392,101.021357601,132.617031843
570,174.223474453,102.090711639,134.530176886
580,176.77291407,103.384866836,135.512263542
590,179.848507701,104.402602752,137.192168842
600,181.869224984,107.022617461,138.235176384
610,186.409159772,107.628542613,140.097864046
620,188.090489932,109.245045311,140.95829932
630,190.372854726,110.442869709,141.486818731
640,193.552093695,111.314130338,143.250542827
650,196.735835011,112.33002397,144.596654774
660,198.559950827,114.631909972,146.76988696
670,200.67984626,115.941689645,148.262410657
680,204.1791752,116.996118676,151.386378607
690,207.386216742,119.003650081,153.368108743
700,210.361031171,120.705777659,155.72233952
710,213.147175807,123.29103649,156.972750737
720,216.082314243,125.643360919,158.760511801
730,218.528431942,127.365048949,160.785004644
740,221.852647113,129.01346824,162.992184112
750,225.321302508,130.752795787,165.264139108
760,230.646172436,131.641729875,167.7294533
770,232.882839962,134.55418826,170.357919508
780,235.751278017,136.245567391,171.480848636
790,238.545552377,139.251340872,174.923467071
800,241.297345916,141.125896994,177.303165565
810,243.693150738,142.302177945,178.770215884
820,245.548211888,143.663572655,179.904382315
830,249.660739602,145.978612266,181.784896999
840,252.731328532,147.598172438,183.869746921
850,255.894741346,148.321278199,184.821872886
860,258.29094603,150.722374474,186.132190172
870,262.27223319,152.74333011,187.934806044
880,264.234964539,154.293370354,188.760721674
890,266.821330809,156.808234587,190.223166678
900,270.721608406,157.826441915,191.909185882
910,275.239041044,158.592213432,193.971803933
920,279.030128967,160.675428192,197.866941781
930,280.95155977,162.092196771,198.546967299
940,285.151796955,163.554507047,200.632388093
950,286.752700569,165.470777618,201.173016979
960,291.254300159,166.603705089,203.295101205
970,294.708005715,168.022775991,205.046222289
980,297.553269156,168.645544448,206.339599183
990,302.10580693,170.448782918,208.693541163
