Time(Iteration),CLUB,SCLUB,LinUCB
0,6.47237142737,4.39135268848,4.67579436391
Time(Iteration),CLUB,SCLUB,LinUCB
0,2.93943133121,4.72027477629,6.62339294377
10,41.3611128456,23.2495871768,13.6959126147
20,75.2816711879,32.2005239107,14.2881428145
30,97.7027725926,40.5118332887,14.3112804332
40,112.307133457,48.2399542,14.3788701586
50,121.320737603,50.2516326794,14.5551856638
60,128.42459897,56.7834061396,14.6238685872
70,133.105825528,60.0341328683,14.7021615592
80,134.810028333,62.1739373505,14.7398894262
90,135.683230751,64.6090753511,14.8426229532
