Time(Iteration),CLUB,LinUCB
0,1.9481550517,1.9481550517
10,7.10240315264,8.36504280722
20,8.42544801951,9.19895172028
30,9.15131864683,9.42568348479
40,9.637970613,9.5160569
Time(Iteration),CLUB,LinUCB
0,1.61193289905,1.61193289905
10,7.87483829347,6.49801831708
20,8.95754675608,6.89970797677
30,9.53729215756,7.13973010055
40,9.88240355633,7.30617132734
Time(Iteration),CLUB,LinUCB
0,1.41831960175,1.41831960175
10,8.4242745791,6.75992932254
20,9.19806733905,7.13464559087
30,9.54960439091,7.27854040339
40,9.99857043376,7.34404378185
