Time(Iteration),CLUB,SCLUB,LinUCB
Time(Iteration),CLUB,SCLUB,LinUCB
0,1.93657800626,1.88894042022,1.88894042022
10,23.056186609,21.2560720332,8.80994329413
20,44.0875035931,28.3088814858,9.15172106962
30,60.9062008912,37.2165459932,9.32319937574
40,80.321474883,45.8938836056,9.3585253962
50,95.4249837079,53.644112199,9.40978647112
60,110.906329764,57.845498845,9.43201168356
70,119.598918948,64.0421221219,9.46426306364
80,126.046487621,67.4059815801,9.50127568195
90,131.318516004,69.4514241611,9.5179549354
100,136.383206502,71.761873913,9.53213957603
110,142.934506838,73.9387891228,9.55584781861
120,151.006537835,76.5658205728,9.55584781861
130,158.194534782,78.3600164843,9.56920572964
140,165.139465906,80.8957251081,9.5898119425
150,172.303247821,83.130042019,9.6031120243
160,175.169072353,85.1625050011,9.617122434
170,176.630808716,86.5177895559,9.63422068536
180,178.576216906,88.3157678441,9.65313497872
190,179.856341531,90.4494186073,9.67387697395
