Time(Iteration),CLUB,LinUCB
0,0.0,0.440244654867
10,5.1786420045,4.93244193018
20,8.33107152645,7.45766610529
30,11.438758605,11.0789506424
40,13.5722053677,14.635499561
50,15.4484754908,17.9844263053
60,20.5767963482,23.023021656
70,25.824242065,27.4268630196
80,28.2169494402,30.0687738119
90,31.9904957835,33.9964496693
100,36.9350023934,37.8432660794
110,40.4349463081,40.792216681
120,43.2350344467,43.1477569314
130,45.548884209,47.3217462165
140,48.4276742719,50.0314289362
150,51.9254852058,54.0360502148
160,53.6638916904,56.9566344814
170,58.9417232524,61.9151657519
180,63.7207419967,66.1715980131
190,66.5608155984,68.8348540615
200,71.2567224447,73.5553066524
210,74.1472570967,76.2320127787
220,77.0388724218,79.1539160679
230,81.1514065454,82.5358868306
240,85.0517290467,86.6162630477
250,88.0051448413,88.8872320723
260,93.5183558512,92.2164924481
270,97.6957462484,95.7615829461
280,101.946505884,101.013597829
290,104.501377217,105.21013962
300,107.498860628,110.559012606
310,110.215828426,114.731046545
320,113.635693785,120.01349522
330,117.58945496,124.590815011
340,120.435714412,126.763684252
350,123.090681131,132.299703809
360,125.854325049,135.696945074
370,129.658792977,139.073719134
380,134.009981184,143.342899793
390,137.837130814,145.526464957
400,140.516639164,148.364463017
410,146.075581046,151.959400256
420,149.84953876,154.130062856
430,153.651329694,157.26836274
440,157.380955194,160.367929306
450,160.432636693,164.797978663
460,162.205859773,166.521790796
470,164.200738143,169.036019415
480,166.892205971,172.609839382
490,169.162074227,175.868559265
