Time(Iteration),CLUB,SCLUB,LinUCB
Time(Iteration),CLUB,SCLUB,LinUCB
0,23.3737570056,39.5558109817,29.7276872426
5,149.752658748,108.208671249,74.8917974636
10,233.854308356,153.606461921,79.9766876801
Time(Iteration),CLUB,SCLUB,LinUCB
0,17.5230474126,8.57362029976,17.1047464154
5,89.758318031,54.4266304651,31.1847214457
10,161.376014517,79.6575938573,32.5357138837
15,241.67578261,111.406719664,33.4053019844
20,320.944164888,122.206445479,34.0985827982
25,379.897284394,145.433686774,34.6506178531
30,444.647152832,161.604454039,35.2867665171
35,516.077095703,187.518531945,35.7002280465
40,589.805831939,224.787618824,36.0900798592
45,665.546714323,256.075696165,36.3772203714
50,734.877663294,287.767732172,36.724099474
55,796.274495525,313.96011052,37.2150718178
60,853.404337802,345.153813937,37.4244094209
65,907.184620401,370.240781629,37.5970166927
70,959.347652704,393.59469055,37.9593615288
75,1008.75961776,417.548868854,38.4959578537
80,1055.88638572,441.986384476,38.7884053625
85,1101.86299812,464.573500418,39.1123084995
90,1145.95903649,488.205698761,39.2060341623
95,1189.41189547,509.761136788,39.3223627224
100,1234.88837678,531.169723499,39.5711936226
105,1282.1173081,551.329409031,39.6962762197
110,1326.33460836,571.57190493,40.0346463013
115,1371.37126116,593.553738448,40.172988882
120,1411.79144828,615.345806099,40.3654559751
125,1452.10631421,637.800518042,40.49663794
130,1489.16189198,656.679347535,40.6426887102
135,1515.77434737,678.500790779,40.8686102208
140,1541.84453962,697.685173827,41.0066260764
145,1568.26456747,717.099726775,41.0938105046
150,1594.5726502,737.101538927,41.1658498429
155,1623.01627372,759.70880965,41.3214064408
160,1650.9988186,784.176218412,41.3911206543
165,1680.28711803,808.32933626,41.5100825541
170,1709.72310262,831.04504174,41.653438787
175,1737.84864243,852.929410782,41.6847587905
180,1766.71643409,870.81973761,41.7635259048
185,1798.28305674,887.923280663,41.805174791
190,1828.48300793,903.23991826,41.8932059233
195,1855.77687386,917.207583287,41.9695059711
200,1881.88976469,931.623971693,42.5108590503
205,1907.81486438,946.68412827,42.6001355432
210,1936.22159867,963.524962118,42.6458993107
215,1961.74992842,977.860861126,42.7222018338
220,1988.92260199,993.098438556,42.9648117911
225,2016.23845072,1009.84782062,43.0162857083
230,2044.5895821,1028.17259036,43.1492506175
235,2072.7897405,1048.61648465,43.2104347305
240,2097.79853995,1068.31224687,43.236207662
245,2121.79408764,1088.3750002,43.2606607552
250,2149.36031728,1108.27628868,43.367366721
255,2176.3564221,1130.26030672,43.3842808419
260,2202.55310679,1149.71525733,43.426531154
265,2228.07027552,1169.76972908,43.7335822705
270,2253.66622608,1190.51034233,43.7896268821
275,2279.36291283,1213.7684526,43.8433402101
280,2304.66822474,1237.67573893,43.9203176162
285,2329.33180379,1258.51194041,44.0489015015
290,2352.80170412,1278.39599444,44.0811386195
295,2377.01313025,1297.05947434,44.1595228499
300,2399.87786588,1317.31072465,44.2035506338
305,2424.90173798,1337.30411107,44.2626854528
310,2449.08468631,1356.82561838,44.3110936426
315,2473.62323641,1374.5477769,44.3580310369
320,2498.33336151,1390.95165694,44.4491539607
325,2522.63373739,1406.08089702,44.4713255779
330,2546.73870923,1421.6103143,44.4941966397
335,2568.93942939,1438.20869789,44.5486550025
340,2592.22041873,1455.84611232,44.5746120946
345,2615.68784026,1471.7269994,44.5869354911
350,2638.78635338,1492.55598311,44.628413062
355,2660.71296981,1512.58867556,44.7234693715
360,2684.41768677,1531.98458976,44.7499596458
365,2706.95555222,1550.11893284,44.764334393
370,2731.80390203,1566.78184644,44.7802207276
375,2757.08031082,1581.84176679,44.8289640192
380,2781.67987219,1594.86165417,44.8995586229
385,2803.38534465,1607.84132509,44.9134404345
390,2826.14419798,1620.69407738,44.9205889032
395,2848.98384656,1634.54517239,44.9672338075
400,2871.38088192,1647.69540747,45.001279423
405,2891.92704615,1661.38931048,45.0422629145
410,2913.19158115,1675.56020544,45.0531136245
415,2933.73024547,1686.92616182,45.079895748
420,2954.96993047,1700.2895226,45.1013798001
425,2977.58030401,1709.76083954,45.1369218301
430,2999.79441594,1718.20874509,45.163216587
435,3022.06284935,1724.42770429,45.1790733004
440,3045.34103979,1730.41872078,45.2060826594
445,3068.07219517,1736.00702999,45.2455169818
450,3089.67667176,1741.3297493,45.2657067064
455,3111.66092602,1747.15899531,45.2821213238
460,3133.38919849,1753.26044647,45.3136335001
465,3155.39474663,1759.97576247,45.4989289062
470,3176.97202091,1766.75380711,45.6860582229
475,3199.69568516,1772.54521146,45.6896568551
480,3220.9832922,1776.320255,45.7612471048
485,3241.33650566,1780.35663039,45.9095383761
490,3262.35243074,1785.70414641,45.9209485694
495,3279.93993262,1789.05515289,45.9343040943
