Time(Iteration),CLUB,LinUCB
Time(Iteration),CLUB,LinUCB
0,3.40955585285,3.19745614152
10,31.0719244735,9.92264126113
20,47.453570383,10.3695545462
30,60.7053478913,10.5406952872
40,68.779752794,10.6174500323
50,73.7360818752,10.6285604517
60,82.1557603815,10.6705368596
70,87.5706446776,10.6995148032
80,92.3198510554,10.7285421984
90,97.0890577148,10.7435216645
Time(Iteration),CLUB,LinUCB
Time(Iteration),CLUB,LinUCB
0,2.40280690103,2.89184621879
10,25.4451347402,10.1797964529
20,46.1078496613,10.5181982195
30,66.4367006356,10.6564175122
40,82.0434897687,10.7676507681
50,92.7116337266,10.7993778052
60,100.282756473,10.8377774143
70,103.352567354,10.9156730462
80,107.062151371,10.9642480924
90,111.680123016,11.0071838917
