Time(Iteration),CLUB,SCLUB,LinUCB
0,2.71047465756,5.09250248669,4.18629393592
10,31.4683142562,24.4157825408,10.7756979405
20,57.2752025817,30.6625643863,10.9055077613
30,80.4429459268,36.0974218712,11.01931043
40,100.314519351,39.1774231314,11.0584163365
50,113.97701693,42.0010547316,11.1065427616
60,115.912976039,43.8627481514,11.1805724856
70,116.806393089,45.2432224975,11.2171376668
80,118.194812696,46.9868487255,11.2962963324
90,119.793588077,48.9835915621,11.3739848322
Time(Iteration),CLUB,SCLUB,LinUCB
0,1.52123240594,2.7384236859,2.01234670475
10,28.111257895,18.2346957164,7.497381403
20,56.8661694572,20.7413046106,7.9634565082
30,74.5202795816,23.4351503303,8.01198100291
40,88.0023009549,27.2116602894,8.08223362472
50,100.505634493,29.4341702451,8.43031498162
60,111.523490859,31.394356633,8.44306024394
70,119.165423584,33.867747524,8.47255995903
80,129.481436154,35.817493035,8.48234450431
90,138.466708674,38.4753175268,8.49106024545
