Time(Iteration),CLUB,LinUCB
0,1.3678760821,0.602606779902
10,19.6922291834,5.18484179662
20,38.1286101848,5.64265889801
30,56.2356059255,5.79327954636
40,74.5703537528,5.95514450203
Time(Iteration),CLUB,LinUCB
0,1.08506958885,1.86821215225
10,19.5941386622,7.34637955998
20,36.8986635127,7.74868492127
30,49.2790111264,7.96160772338
40,61.8105464177,8.12665937989
Time(Iteration),CLUB,LinUCB
0,1.24276918113,1.30672251912
10,15.8755722601,6.62950919969
20,30.1388307876,7.00340372192
30,41.6702498215,7.24866663368
40,50.2468626016,7.31955999587
