Time(Iteration),CLUB,LinUCB
0,1.97466285572,1.97466285572
10,9.39285998626,8.24679080783
20,9.92010446816,8.40453102774
30,10.50203356,8.68819111348
40,10.7722897046,8.87029370935
50,10.9222621765,8.95874886909
60,11.0948987804,9.06982331085
70,11.311619736,9.10988138529
80,11.6452363131,9.23679569604
90,11.7509387506,9.31407571168
100,11.8470232232,9.35111407743
110,12.0742814636,9.38290506486
120,12.1617543852,9.4385532494
130,12.2576104534,9.45301466582
140,12.3763226287,9.50230549686
150,12.4560996457,9.54681926302
160,12.5824207949,9.61930955501
170,12.6103956189,9.64530332113
180,12.8296949386,9.67428452347
190,12.9737360286,9.71305836383
200,13.0226564369,9.72154361477
210,13.0744402264,9.74735244761
220,13.1930101147,9.78216002472
230,13.2922153718,9.82693185944
240,13.3795722521,9.88168509896
250,13.4766341947,9.89960951261
260,13.5788594903,9.9140340705
270,13.6200668423,9.93432875157
280,13.6967720899,9.98535847253
290,13.7481146688,10.0157470683
300,13.7912610736,10.0432558059
310,13.8277766632,10.0639661444
320,13.9214079904,10.1069740299
330,14.0272133122,10.1118397114
340,14.0837522799,10.1678973124
350,14.119308822,10.1730652586
360,14.212333933,10.2012608012
370,14.2236826878,10.2012608012
380,14.3436074554,10.2537821564
390,14.3436074554,10.2537821564
400,14.4291185138,10.2760819705
410,14.4829015081,10.3047221861
420,14.5090255124,10.3103366232
430,14.5412638634,10.3106177846
440,14.5874020583,10.3131130098
450,14.6250810111,10.31475497
460,14.7075344157,10.3329354213
470,14.7271375291,10.3468625338
480,14.7633008996,10.3479498066
490,14.8831072279,10.3668400041
