Time(Iteration),CLUB,LinUCB
0,40.7500647139,53.9565859979
10,448.250711853,168.126208979
20,855.751358993,183.985149826
30,1263.25200613,194.443156567
40,1670.75265327,202.538400478
50,2078.25330041,210.534121026
60,2485.75394755,215.553932911
70,2893.25459469,221.110813187
80,3300.75524183,225.125136161
90,3708.25588897,228.043727403
100,4115.75653611,232.819133017
110,4523.25718325,236.613722318
120,4930.75783039,239.197498848
130,5338.25847753,242.309730898
140,5745.75912467,244.879169648
150,6153.25977181,247.68015697
160,6560.76041894,251.047579379
170,6968.26106608,253.246491162
180,7375.76171322,255.963003724
190,7783.26236036,257.519525438
200,8190.7630075,260.037728269
