Time(Iteration),CLUB,SCLUB,LinUCB
0,0.00176759994194,0.00176759994194,0.00176759994194
10,1.11050043174,1.26398840428,1.26398840428
20,1.65090773062,1.97336781128,1.98353107574
30,2.15800015014,3.15322476378,2.68500729284
40,3.53556945694,4.30327926826,4.53771274408
50,4.51753043632,6.04840660237,6.32647720458
60,6.15992256415,7.93892882006,8.68211709858
70,7.70353513693,10.5285702502,10.3987194585
80,8.68132791704,11.2121608539,10.941361788
90,9.73534158356,12.6284693287,12.0886790754
100,10.9214005088,14.3299151666,13.6665878937
110,12.6367929543,15.678513498,15.427764334
120,14.4640640519,17.5396646313,17.1535299658
130,16.3885860601,19.4152639539,19.0831488546
140,17.0560085272,20.8270984229,19.986344653
150,17.4401968015,23.5994898264,20.7388296075
160,19.1922522178,26.3517410599,23.4249699073
170,19.8887758665,27.8617517144,24.7642374202
180,20.4925245033,29.4144129043,25.9861244646
190,21.3799721303,30.3527075681,26.2661061327
Time(Iteration),CLUB,SCLUB,LinUCB
0,0.109751068511,0.109751068511,0.109751068511
Time(Iteration),CLUB,SCLUB,LinUCB
0,0.518927290913,0.518927290913,0.518927290913
10,2.97635285112,2.66021621195,1.80920021228
20,5.39076653356,6.89240565599,5.32769676119
30,7.98540730003,9.45663614176,9.19672734767
40,9.96140870066,13.3546081051,12.650383275
50,11.988826219,16.0051665975,15.1798442255
60,13.6831532285,19.2682816004,16.6414378124
70,15.5678688454,23.6892562032,19.5912019574
80,16.2288930751,25.6052319995,21.5152732888
90,18.0757306998,28.2825805075,23.7751612034
100,21.1369113371,30.760115446,24.9573180351
110,23.9750607655,34.3186759973,28.2362793849
120,25.9007038299,36.6446394542,29.794489706
130,27.6135695812,38.545383974,31.9914177905
140,29.8554608629,42.2579749904,33.8864402241
150,31.9862297855,45.9160102183,36.8754075106
160,35.3674309098,48.1492538429,37.5432921962
170,38.4180650783,50.5594082396,40.7328767873
180,41.9500045683,54.0488515896,41.5280890275
190,45.0759254623,57.5170675697,44.5436158466
