Time(Iteration),CLUB,LinUCB
0,0.99334177416,0.99334177416
10,6.57637839575,5.00880844924
20,8.6313694993,6.00604510926
30,9.7547498685,6.23701152587
40,10.6896968394,6.52379836991
50,11.3861532554,6.67271731543
60,12.0381307022,6.80850971119
70,12.5390652157,6.93588933423
80,13.0458824885,7.0621413303
90,13.2080610333,7.08376836642
100,13.5845107354,7.16126370336
110,13.7895323543,7.2001621935
120,13.9869198252,7.23833455591
130,14.1620592523,7.31668914577
140,14.3478249283,7.35547872489
150,14.4354004962,7.38607981608
160,14.5442616079,7.40189025617
170,14.6531815054,7.41481436713
180,14.8035359383,7.44322868049
190,14.8817293917,7.46797270084
200,14.9491094543,7.46985560174
210,15.0328281143,7.49939716261
220,15.0767258641,7.52392825955
230,15.1431485721,7.54877635844
240,15.2137483446,7.57578334016
250,15.2856529583,7.58955376087
260,15.3564795135,7.59535966361
270,15.3979100394,7.61131873463
280,15.476684608,7.62755139712
290,15.5127079876,7.65454402312
300,15.5653365296,7.67196025536
310,15.5996912148,7.68100086486
320,15.6447684463,7.6879160721
330,15.6860406561,7.70486107476
340,15.7274050533,7.71843559693
350,15.7808680376,7.73795842864
360,15.8488924619,7.75476393353
370,15.8832078594,7.76199277868
380,15.9136822031,7.77465779151
390,15.9733885549,7.78718406298
400,16.0385060676,7.79497489311
410,16.1031198866,7.8232201843
420,16.12515778,7.83447843598
430,16.1397572661,7.84290101613
440,16.1650359084,7.86158567643
450,16.1847439759,7.87039913691
460,16.2074615804,7.88622588313
470,16.2414391678,7.88978004914
480,16.2689956508,7.89950610616
490,16.3168987508,7.91380773354
Time(Iteration),CLUB,LinUCB
0,0.768103572676,0.768103572676
10,7.06882474127,5.06388005765
20,9.24709684706,5.95298802338
30,10.7679573648,6.42208432357
40,11.4817176313,6.62700401349
50,12.1785106764,6.8310334908
60,12.8256642169,6.89051050235
70,13.2124941209,6.98917648431
80,13.4312515742,7.05413744076
90,13.6821471087,7.11824926752
100,13.9782801213,7.16448087378
110,14.1716706188,7.20712238743
120,14.5274867873,7.27207199066
130,14.7409787265,7.29861359439
140,14.9032236005,7.36511517005
150,15.0148085043,7.3924756772
160,15.1158002894,7.42488860975
170,15.2545648887,7.44718412437
180,15.3255949414,7.46768305806
190,15.435808179,7.50218606693
200,15.5408635712,7.52870054014
210,15.6471340495,7.55771481315
220,15.6860495806,7.58008879747
230,15.7636085025,7.6236532142
240,15.8324672508,7.65252037525
250,15.9284303379,7.67719390869
260,15.9795703242,7.71116786916
270,16.0381117299,7.74584846079
280,16.0849687987,7.77135687573
290,16.1336802787,7.80021069299
300,16.169808452,7.80517084524
310,16.206444906,7.81857246833
320,16.2369215695,7.83038549757
330,16.2651687416,7.8414074032
340,16.2991700412,7.84406991907
350,16.3451420088,7.85516181496
360,16.3685095297,7.85678723583
370,16.407461587,7.86450893979
380,16.4581951863,7.8809715599
390,16.5127196432,7.90642712832
400,16.5696928969,7.92235553587
410,16.6302994811,7.94210543931
420,16.6398101664,7.94544969428
430,16.6845931776,7.96643052434
440,16.7037317711,7.97078093853
450,16.7514276451,7.97802245761
460,16.8012802204,7.99108351905
470,16.8316902912,7.99978490679
480,16.8503373692,8.00581610921
490,16.8790628363,8.01666395528
