Time(Iteration),CLUB,LinUCB
Time(Iteration),CLUB,LinUCB
Time(Iteration),CLUB,LinUCB
0,32.4239047555,32.4239047555
10,120.051938807,92.1344355695
20,127.797447913,94.9816193712
30,131.549107209,96.3897110034
40,134.703344791,97.2372798272
50,136.7071673,97.8684806028
60,138.193074526,98.4501889389
70,139.667579565,98.7707087192
80,140.75640854,99.0802354708
90,142.036999278,99.5088028498
100,142.961349684,99.8571188349
110,143.912106301,100.055011509
120,145.231092224,100.329494632
130,146.049593416,100.490093358
140,147.190656056,100.816668906
150,148.015867131,101.097199099
160,148.625098077,101.338465723
170,149.353924166,101.59976203
180,149.993591774,101.746730577
190,150.772582768,101.975725029
