Time(Iteration),CLUB,SCLUB,LinUCB
0,10.7627506074,14.208084211,14.1180731549
10,136.840516055,156.094969114,117.504962186
20,269.389022461,288.199407933,160.320039496
30,410.868565099,386.98729868,181.990157261
40,550.24976324,488.175334406,197.206676334
50,681.405411822,589.957800182,208.338005822
60,809.46702673,691.096783771,217.405059723
70,937.704941918,776.675407071,224.072326982
80,1062.14709005,854.042277159,230.666695423
90,1185.39941528,933.5026972,236.789230154
100,1292.85871197,1011.45332182,242.164942278
110,1398.24421599,1086.41606553,246.914382128
120,1499.89554679,1163.69625048,250.984736325
130,1618.22141794,1242.49383145,255.504285476
140,1733.6962005,1327.77823792,260.134134426
150,1842.48921886,1417.09655764,264.269838725
160,1950.64826214,1499.24513801,268.928437469
170,2054.80656239,1582.23392119,272.497966476
180,2157.06628136,1662.30640595,275.446712361
190,2247.63546419,1735.90970972,278.042366837
200,2331.94029044,1803.85895992,281.118821357
210,2403.45840604,1865.75244628,284.003607617
220,2467.76138513,1929.916662,286.626729135
230,2528.71540276,1989.69281023,289.231427728
240,2586.87586839,2044.39289213,291.827437635
250,2637.73973233,2093.80421277,294.676344931
260,2689.55576345,2138.96000632,297.604965903
270,2735.1743726,2185.28273311,299.232073554
280,2777.451985,2227.82306741,301.334610284
290,2819.23564194,2268.18430327,302.984135223
300,2858.57271822,2307.15224759,304.711678632
310,2897.24388624,2339.3987689,307.267113883
320,2935.03326735,2369.7999658,309.011012437
330,2968.61519427,2396.09205937,310.447287662
340,2999.66479998,2421.93577857,311.752167518
350,3026.67058344,2446.82623032,313.277902582
360,3053.99921397,2470.54156607,314.866840389
370,3077.59304793,2489.47332389,316.314381312
380,3101.15339067,2507.76313278,317.705147214
390,3126.82156618,2522.2807356,319.625224795
400,3150.9951579,2535.67238748,321.517467606
410,3169.80767974,2548.45064963,323.608418832
420,3187.54932162,2561.06801172,325.25307385
430,3201.60528194,2574.91100666,326.943931864
440,3217.13700755,2586.32643338,328.894985663
450,3230.97942242,2596.92486008,330.917811677
460,3241.47557515,2609.20105666,332.467770871
470,3254.19053221,2621.55360931,333.660642033
480,3264.92647358,2630.73604874,334.757183555
490,3274.95081833,2639.71839903,336.154455704
