Time(Iteration),CLUB,LinUCB
Time(Iteration),CLUB,LinUCB
0,3.97299826327,3.97299826327
10,9.97548777016,9.57970837929
20,12.3441000805,10.0284572358
30,13.7244881423,10.0844031972
40,14.5541960361,10.2735464386
50,14.912733274,10.3782521587
60,15.1718551175,10.4255179099
70,15.5865594105,10.7206003936
80,15.9617656217,10.8605476477
90,16.1621522956,10.948560355
100,16.5712344329,11.1880884969
110,16.8323335597,11.4105223729
120,17.0552994975,11.5313310527
130,17.2442364701,11.6259661872
140,17.3119409475,11.7004310045
150,17.5018293321,11.7876865697
160,17.5890218497,11.8121892704
170,17.7091626809,11.8666838799
180,17.7916916294,11.9166459964
190,18.0296513427,11.9743579396
200,18.1371203706,11.9962567066
210,18.5292159247,11.9962567066
220,18.6261742733,12.0375784678
230,18.7900486677,12.0375784678
240,18.9627694386,12.072139889
250,19.1541100528,12.2727527435
260,19.2699197534,12.337853287
270,19.4756104304,12.363774353
280,19.6180743881,12.3862688772
290,19.7338455721,12.4035495879
300,19.8302062816,12.4387067664
310,19.9949207418,12.4666419549
320,20.1701327646,12.546889185
330,20.3222694299,12.598731317
340,20.7375615342,12.8099030846
350,20.7882996055,12.8404422068
360,20.8687072585,12.8583186748
370,20.9745988519,12.8974981524
380,21.0269057728,12.9147698847
390,21.1331995811,12.980737432
400,21.205807505,12.9939958437
410,21.4666092517,13.0245349659
420,21.501170673,13.4699087032
430,21.717323411,13.5004478255
440,21.8482507911,13.5263688915
450,21.8655315017,13.557503771
460,21.9263381644,13.5866245281
470,22.0803593992,13.7273873512
480,22.1707502931,13.7733271687
490,23.0645287495,13.8073693404
