Time(Iteration),CLUB,SCLUB,LinUCB
0,5.04257980668,6.27390632624,4.75717279527
10,55.4683778734,24.4538866279,11.9854042637
20,108.988539607,38.0359207532,11.9854042637
30,155.632213725,46.7455771947,12.5715967198
40,197.374676219,51.5325579036,12.5715967198
50,214.859907315,56.1122930597,12.8608032449
60,219.484103923,60.908247004,13.0198025257
70,225.057582509,65.761108369,13.1306581142
80,228.985490664,70.2411257207,13.1306581142
90,233.579478368,74.9537717363,13.1306581142
100,235.781571247,79.1448882179,13.1306581142
110,237.244472521,81.4862845768,13.1306581142
120,238.840088854,81.4862845768,13.1306581142
130,240.435705187,81.4862845768,13.1306581142
140,243.143845712,81.4862845768,13.332816963
150,245.851986238,81.4862845768,13.332816963
160,248.536350357,81.4862845768,13.332816963
170,251.19693807,81.6951368341,13.332816963
180,253.881302189,81.8316377565,13.332816963
190,256.541889902,81.8316377565,13.332816963
Time(Iteration),CLUB,SCLUB,LinUCB
0,2.82201912068,4.23710819627,4.52166467009
10,31.0422103275,18.9228055273,10.9587973345
20,59.2624015344,21.9884643366,11.2130569839
30,87.4825927412,35.8360738379,11.6187971937
40,115.702783948,41.778945942,11.681802863
50,143.922975155,47.204542356,11.9146650136
60,172.143166362,50.0601499652,11.9146650136
70,200.363357569,52.0257812195,11.9776706829
80,228.583548775,54.4777038865,12.0284281073
90,259.138442222,56.4433351408,12.0284281073
100,260.823878736,58.7819385737,12.0284281073
110,262.437160419,60.6807725836,12.0284281073
120,263.988466261,62.9773172017,12.0791855317
130,265.674880903,65.2142104574,12.0791855317
140,268.251347715,67.1972005138,12.0791855317
150,270.963967729,73.2179468342,12.1421912009
160,273.676587743,75.1835780885,12.1421912009
170,276.323094903,77.2081763154,12.1929486253
180,279.035714917,79.1738075697,12.1929486253
190,281.870747734,81.1060402018,12.1929486253
