Time(Iteration),CLUB,SCLUB,LinUCB
Time(Iteration),CLUB,SCLUB,LinUCB
Time(Iteration),CLUB,SCLUB,LinUCB
Time(Iteration),CLUB,SCLUB,LinUCB
0,35.9802050355,34.2578491136,41.5482797602
10,338.957926061,239.307036399,112.440509747
20,569.243010936,326.887161297,116.10646168
30,688.552974223,423.070450871,117.864349795
40,817.714593275,499.754331433,118.557129425
50,923.598156838,597.417873433,119.464568228
60,1011.25247568,675.788333449,119.994879878
70,1101.74033023,734.994052983,120.545513617
80,1190.2133868,795.710952681,120.976182061
90,1281.33103814,866.06859293,121.310008836
100,1361.6825194,935.700883874,121.801923858
110,1435.61881715,991.512946543,122.063658441
120,1515.49476958,1054.10362281,122.338656071
130,1591.63211518,1115.24882376,122.732018573
140,1667.6776962,1177.45995907,122.911804532
150,1744.97401006,1233.26750456,123.084899778
160,1818.38385712,1285.29791562,123.27439944
170,1896.04181397,1332.40661395,123.424523485
180,1976.46540845,1383.57082324,123.695117879
190,2057.81867284,1436.00684545,123.91556396
