Time(Iteration),CLUB,LinUCB
0,0.794592333622,0.794592333622
10,5.24774459736,4.92897727743
20,9.25492906184,9.42918961037
30,12.6604144238,14.9978727788
40,17.5775239207,21.2196250147
50,21.7974044509,25.456614127
60,28.4647279146,31.1691511842
70,32.5716213807,35.5930274369
80,38.0870630974,41.0272010207
90,43.5492854554,44.9735246989
100,46.8292524452,49.2272005967
110,51.6878733249,53.1067681994
120,55.9288819028,56.0822887756
130,60.9469337005,60.8733421957
140,65.357942341,65.055094133
150,70.6203378442,68.7627830263
160,75.022115709,73.5861996726
170,79.0695431892,76.061600422
180,82.0071095121,80.2816861155
190,86.8623112061,84.9099857939
200,94.4312923937,88.7350803745
210,99.5499722023,92.4736707308
220,104.31768124,98.301853204
230,108.525923492,101.361889238
240,114.888975027,106.397961599
250,118.075594564,111.409806573
260,124.735110678,115.434920855
270,129.8836992,119.313165976
280,133.394815552,121.064608169
290,138.472779565,124.217902248
300,143.624977424,128.764687618
310,148.48466115,132.391996977
320,153.246027507,136.284471122
330,156.6078381,138.785790933
340,160.998916688,144.150326527
350,164.80414852,146.424822192
360,168.837122586,149.585224557
370,172.549429593,152.45388537
380,178.306912431,158.291413469
390,181.421460625,161.446722447
400,184.251644839,165.746142079
410,188.879501003,168.731710169
420,193.895596298,175.139905352
430,196.636411815,177.434391294
440,201.455060318,180.14819803
450,206.098383905,185.379140983
460,210.45437542,189.089685298
470,216.322358729,194.90697614
480,219.693908791,198.153108599
490,223.155113098,200.50589904
